lambda,radiance
0.4,19.021
0.401,
0.402,19.498
0.403,19.498
0.404,19.979
0.405,19.979
0.406,19.979
0.40700000000000003,20.612
0.40800000000000003,20.612
0.40900000000000003,21.252
0.41000000000000003,21.252
0.41100000000000003,21.252
0.41200000000000003,22.018
0.41300000000000003,22.018
0.41400000000000003,22.786
0.41500000000000004,22.786
0.41600000000000004,22.786
0.41700000000000004,22.634
0.41800000000000004,22.634
0.41900000000000004,22.469
0.42000000000000004,22.469
0.42100000000000004,22.469
0.42200000000000004,22.578
0.42300000000000004,22.578
0.42400000000000004,22.68
0.42500000000000004,22.68
0.42600000000000005,22.68
0.42700000000000005,21.633
0.42800000000000005,21.633
0.42900000000000005,20.554
0.43000000000000005,20.554
0.43100000000000005,20.554
0.43200000000000005,22.556
0.43300000000000005,22.556
0.43400000000000005,24.592
0.43500000000000005,24.592
0.43600000000000005,24.592
0.437,25.055
0.438,25.055
0.439,25.519
0.44,25.519
0.441,25.519
0.442,26.768
0.443,26.768
0.444,28.016
0.445,28.016
0.446,28.016
0.447,29.194
0.448,29.194
0.449,30.39
0.45,30.39
0.451,30.39
0.452,30.371
0.453,30.371
0.454,30.339
0.455,30.339
0.456,30.339
0.457,30.699
0.458,30.699
0.459,31.058
0.46,31.058
0.461,31.058
0.462,31.057
0.463,31.057
0.464,31.104
0.465,31.104
0.466,31.104
0.467,31.164
0.468,31.164
0.46900000000000003,31.168
0.47000000000000003,31.168
0.47100000000000003,
0.47200000000000003,31.622
0.47300000000000003,31.622
0.47400000000000003,32.054
0.47500000000000003,32.054
0.47600000000000003,32.054
0.47700000000000004,32.515
0.47800000000000004,32.515
0.47900000000000004,32.971
0.48000000000000004,32.971
0.48100000000000004,32.971
0.48200000000000004,31.714
0.48300000000000004,31.714
0.48400000000000004,30.449
0.48500000000000004,30.449
0.48600000000000004,30.449
0.48700000000000004,31.096
0.488,31.096
0.489,31.737
0.49,31.737
0.491,31.737
0.492,32.22
0.493,32.22
0.494,32.701
0.495,32.701
0.496,32.701
0.497,32.13
0.498,32.13
0.499,31.555
0.5,31.555
0.501,31.555
0.502,31.939
0.503,31.939
0.504,32.324
0.505,32.324
0.506,32.324
0.507,32.493
0.508,32.493
0.509,32.662
0.51,32.662
0.511,32.662
0.512,31.841
0.513,31.841
0.514,31.01
0.515,31.01
0.516,
0.517,30.906
0.518,30.906
0.519,30.789
0.52,30.789
0.521,30.789
0.522,31.341
0.523,31.341
0.524,31.891
0.525,31.891
0.526,31.891
0.527,32.36
0.528,32.36
0.529,32.816
0.53,32.816
0.531,32.816
0.532,32.753
0.533,32.753
0.534,32.734
0.535,32.734
0.536,32.734
0.537,32.423
0.538,32.423
0.539,32.109
0.54,32.109
0.541,32.109
0.542,32.409
0.543,32.409
0.544,32.696
0.545,32.696
0.546,32.696
0.547,32.688
0.548,32.688
0.549,32.674
0.55,32.674
0.551,
0.552,32.707
0.553,32.707
0.554,32.74
0.555,32.74
0.556,32.74
0.557,32.332
0.558,32.332
0.559,31.921
0.56,31.921
0.561,31.921
0.562,32.096
0.5630000000000001,32.096
0.5640000000000001,32.274
0.5650000000000001,32.274
0.5660000000000001,32.274
0.5670000000000001,32.173
0.5680000000000001,32.173
0.5690000000000001,30.907
0.5700000000000001,30.907
0.5710000000000001,30.907
0.5720000000000001,32.184
0.5730000000000001,32.184
0.5740000000000001,32.12
0.5750000000000001,32.12
0.5760000000000001,32.12
0.577,32.292
0.5780000000000001,32.292
0.579,32.41
0.5800000000000001,32.41
0.581,32.41
0.5820000000000001,32.611
0.583,32.611
0.5840000000000001,32.762
0.585,32.762
0.5860000000000001,32.762
0.587,31.45
0.5880000000000001,31.45
0.589,
0.5900000000000001,26.251
0.591,26.251
0.5920000000000001,28.21
0.593,28.21
0.5940000000000001,29.371
0.595,29.371
0.5960000000000001,29.371
0.597,30.841
0.5980000000000001,30.841
0.599,31.601
0.6000000000000001,31.601
0.601,31.601
0.6020000000000001,31.634
0.603,31.634
0.6040000000000001,31.859
0.605,31.859
0.6060000000000001,31.859
0.607,31.708
0.6080000000000001,31.708
0.609,31.557
0.61,31.557
0.611,31.557
0.612,31.272
0.613,31.272
0.614,30.982
0.615,30.982
0.616,30.982
0.617,31.393
0.618,31.393
0.619,31.792
0.62,31.792
0.621,31.792
0.622,31.542
0.623,31.542
0.624,31.288
0.625,31.288
0.626,31.288
0.627,30.794
0.628,30.794
0.629,30.248
0.63,30.248
0.631,30.248
0.632,30.695
0.633,30.695
0.634,31.256
0.635,31.256
0.636,31.256
0.637,31.343
0.638,31.343
0.639,31.447
0.64,31.447
0.641,31.447
0.642,31.308
0.643,31.308
0.644,31.045
0.645,31.045
0.646,31.045
0.647,29.283
0.648,29.283
0.649,30.412
0.65,30.412
0.651,30.412
0.652,29.014
0.653,29.014
0.654,28.383
0.655,28.383
0.656,28.383
0.657,28.695
0.658,28.695
0.659,30.468
0.66,30.468
0.661,30.468
0.662,30.773
0.663,30.773
0.664,31.142
0.665,31.142
0.666,31.142
0.667,31.041
0.668,31.041
0.669,30.941
0.67,30.941
0.671,
0.672,30.875
0.673,30.875
0.674,30.808
0.675,30.808
0.676,30.808
0.677,30.72
0.678,30.72
0.679,30.608
0.68,30.608
0.681,30.608
0.682,30.359
0.683,30.359
0.684,30.142
0.685,30.142
0.686,30.142
0.687,20.29
0.6880000000000001,20.29
0.6890000000000001,26.504
0.69,26.504
0.6910000000000001,26.504
0.692,27.804
0.6930000000000001,27.804
0.694,23.576
0.6950000000000001,23.576
0.696,23.576
0.6970000000000001,28.785
0.698,28.785
0.6990000000000001,26.043
0.7,26.043
0.7010000000000001,26.043
0.702,27.349
0.7030000000000001,27.349
0.704,28.321
0.7050000000000001,28.321
0.706,28.321
0.7070000000000001,27.727
0.708,27.727
0.7090000000000001,27.907
0.71,27.907
0.7110000000000001,27.907
0.712,28.298
0.7130000000000001,28.298
0.714,26.438
0.7150000000000001,26.438
0.716,26.438
0.7170000000000001,18.148
0.718,18.148
0.7190000000000001,15.708
0.72,15.708
0.7210000000000001,15.708
0.722,27.178
0.7230000000000001,27.178
0.724,20.643
0.7250000000000001,20.643
0.726,20.643
0.7270000000000001,19.554
0.728,19.554
0.7290000000000001,21.924
0.73,21.924
0.7310000000000001,21.924
0.732,23.934
0.7330000000000001,23.934
0.734,24.071
0.7350000000000001,24.071
0.736,24.071
0.7370000000000001,26.114
0.738,26.114
0.7390000000000001,25.206
0.74,25.206
0.7410000000000001,25.206
0.742,26.617
0.7430000000000001,26.617
0.744,27.585
0.7450000000000001,27.585
0.746,27.585
0.7470000000000001,27.5
0.748,27.5
0.7490000000000001,27.389
0.75,27.389
0.7510000000000001,27.389
0.752,27.292
0.753,27.292
0.754,27.194
0.755,27.194
0.756,27.194
0.757,27.076
0.758,27.076
0.759,5.981
0.76,5.981
0.761,
0.762,14.11
0.763,14.11
0.764,17.093
0.765,17.093
0.766,17.093
0.767,24.224
0.768,24.224
0.769,25.917
0.77,25.917
0.771,25.917
0.772,26.204
0.773,26.204
0.774,26.279
0.775,26.279
0.776,26.279
0.777,26.234
0.778,26.234
0.779,26.152
0.78,26.152
0.781,26.152
0.782,26.081
0.783,26.081
0.784,25.9
0.785,25.9
0.786,25.9
0.787,24.635
0.788,24.635
0.789,23.641
0.79,23.641
0.791,23.641
0.792,24.672
0.793,24.672
0.794,24.306
0.795,24.306
0.796,24.306
0.797,24.551
0.798,24.551
0.799,24.73
0.8,24.73
0.801,24.73
0.802,24.216
0.803,24.216
0.804,23.222
0.805,23.222
0.806,23.222
0.807,24.284
0.808,24.284
0.809,23.684
0.81,23.684
0.811,23.684
0.812,20.46
0.8130000000000001,20.46
0.8140000000000001,15.78
0.8150000000000001,15.78
0.8160000000000001,15.78
0.817,16.875
0.8180000000000001,16.875
0.819,17.044
0.8200000000000001,17.044
0.821,17.044
0.8220000000000001,13.155
0.823,13.155
0.8240000000000001,19.334
0.825,19.334
0.8260000000000001,19.334
0.827,17.378
0.8280000000000001,17.378
0.829,20.313
0.8300000000000001,20.313
0.831,20.313
0.8320000000000001,16.861
0.833,16.861
0.8340000000000001,21.418
0.835,21.418
0.8360000000000001,21.418
0.837,21.502
0.8380000000000001,21.502
0.839,21.825
0.8400000000000001,21.825
0.841,21.825
0.8420000000000001,23.055
0.843,23.055
0.8440000000000001,22.718
0.845,22.718
0.8460000000000001,22.718
0.847,22.489
0.8480000000000001,22.489
0.849,21.947
0.8500000000000001,21.947
0.851,21.947
0.8520000000000001,21.284
0.853,21.284
0.8540000000000001,21.062
0.855,21.062
0.8560000000000001,21.062
0.857,21.662
0.8580000000000001,21.662
0.859,22.607
0.8600000000000001,22.607
0.861,
0.8620000000000001,22.069
0.863,22.069
0.8640000000000001,21.551
0.865,21.551
0.8660000000000001,21.551
0.867,21.691
0.8680000000000001,21.691
0.869,21.844
0.8700000000000001,21.844
0.871,21.844
0.8720000000000001,22.227
0.873,22.227
0.8740000000000001,22.588
0.875,22.588
0.8760000000000001,22.588
0.877,22.425
0.8780000000000001,22.425
0.879,22.226
0.88,22.226
0.881,22.226
0.882,21.887
0.883,21.887
0.884,21.902
0.885,21.902
0.886,21.902
0.887,21.844
0.888,21.844
0.889,21.133
0.89,21.133
0.891,21.133
0.892,21.365
0.893,21.365
0.894,17.12
0.895,17.12
0.896,17.12
0.897,13.286
0.898,13.286
0.899,12.644
0.9,12.644
