lambda,radiance
0.4,3.114
0.401,
0.402,3.197
0.403,3.197
0.404,3.281
0.405,3.281
0.406,3.281
0.40700000000000003,3.39
0.40800000000000003,3.39
0.40900000000000003,3.501
0.41000000000000003,3.501
0.41100000000000003,3.501
0.41200000000000003,3.632
0.41300000000000003,3.632
0.41400000000000003,3.765
0.41500000000000004,3.765
0.41600000000000004,3.765
0.41700000000000004,3.746
0.41800000000000004,3.746
0.41900000000000004,3.724
0.42000000000000004,3.724
0.42100000000000004,3.724
0.42200000000000004,3.748
0.42300000000000004,3.748
0.42400000000000004,3.771
0.42500000000000004,3.771
0.42600000000000005,3.771
0.42700000000000005,3.601
0.42800000000000005,3.601
0.42900000000000005,3.425
0.43000000000000005,3.425
0.43100000000000005,3.425
0.43200000000000005,3.763
0.43300000000000005,3.763
0.43400000000000005,4.107
0.43500000000000005,4.107
0.43600000000000005,4.107
0.437,4.189
0.438,4.189
0.439,4.272
0.44,4.272
0.441,4.272
0.442,4.486
0.443,4.486
0.444,4.7
0.445,4.7
0.446,4.7
0.447,4.903
0.448,4.903
0.449,5.111
0.45,5.111
0.451,5.111
0.452,5.114
0.453,5.114
0.454,5.113
0.455,5.113
0.456,5.113
0.457,5.173
0.458,5.173
0.459,5.233
0.46,5.233
0.461,5.233
0.462,5.233
0.463,5.233
0.464,5.252
0.465,5.252
0.466,5.252
0.467,5.276
0.468,5.276
0.46900000000000003,5.279
0.47000000000000003,5.279
0.47100000000000003,
0.47200000000000003,5.356
0.47300000000000003,5.356
0.47400000000000003,5.424
0.47500000000000003,5.424
0.47600000000000003,5.424
0.47700000000000004,5.496
0.47800000000000004,5.496
0.47900000000000004,5.565
0.48000000000000004,5.565
0.48100000000000004,5.565
0.48200000000000004,5.351
0.48300000000000004,5.351
0.48400000000000004,5.137
0.48500000000000004,5.137
0.48600000000000004,5.137
0.48700000000000004,5.254
0.488,5.254
0.489,5.372
0.49,5.372
0.491,5.372
0.492,5.453
0.493,5.453
0.494,5.532
0.495,5.532
0.496,5.532
0.497,5.418
0.498,5.418
0.499,5.303
0.5,5.303
0.501,5.303
0.502,5.35
0.503,5.35
0.504,5.397
0.505,5.397
0.506,5.397
0.507,5.429
0.508,5.429
0.509,5.462
0.51,5.462
0.511,5.462
0.512,5.326
0.513,5.326
0.514,5.187
0.515,5.187
0.516,
0.517,5.16
0.518,5.16
0.519,5.128
0.52,5.128
0.521,5.128
0.522,5.207
0.523,5.207
0.524,5.284
0.525,5.284
0.526,5.284
0.527,5.345
0.528,5.345
0.529,5.4
0.53,5.4
0.531,5.4
0.532,5.374
0.533,5.374
0.534,5.364
0.535,5.364
0.536,5.364
0.537,5.307
0.538,5.307
0.539,5.249
0.54,5.249
0.541,5.249
0.542,5.291
0.543,5.291
0.544,5.329
0.545,5.329
0.546,5.329
0.547,5.317
0.548,5.317
0.549,5.302
0.55,5.302
0.551,
0.552,5.291
0.553,5.291
0.554,5.279
0.555,5.279
0.556,5.279
0.557,5.196
0.558,5.196
0.559,5.112
0.56,5.112
0.561,5.112
0.562,5.123
0.5630000000000001,5.123
0.5640000000000001,5.135
0.5650000000000001,5.135
0.5660000000000001,5.135
0.5670000000000001,5.103
0.5680000000000001,5.103
0.5690000000000001,4.683
0.5700000000000001,4.683
0.5710000000000001,4.683
0.5720000000000001,5.05
0.5730000000000001,5.05
0.5740000000000001,4.966
0.5750000000000001,4.966
0.5760000000000001,4.966
0.577,5.05
0.5780000000000001,5.05
0.579,5.122
0.5800000000000001,5.122
0.581,5.122
0.5820000000000001,5.172
0.583,5.172
0.5840000000000001,5.205
0.585,5.205
0.5860000000000001,5.205
0.587,4.88
0.5880000000000001,4.88
0.589,
0.5900000000000001,3.595
0.591,3.595
0.5920000000000001,4.028
0.593,4.028
0.5940000000000001,4.279
0.595,4.279
0.5960000000000001,4.279
0.597,4.738
0.5980000000000001,4.738
0.599,5.007
0.6000000000000001,5.007
0.601,5.007
0.6020000000000001,4.989
0.603,4.989
0.6040000000000001,5.042
0.605,5.042
0.6060000000000001,5.042
0.607,5.035
0.6080000000000001,5.035
0.609,5.029
0.61,5.029
0.611,5.029
0.612,5.005
0.613,5.005
0.614,4.98
0.615,4.98
0.616,4.98
0.617,5.068
0.618,5.068
0.619,5.151
0.62,5.151
0.621,5.151
0.622,5.129
0.623,5.129
0.624,5.106
0.625,5.106
0.626,5.106
0.627,4.939
0.628,4.939
0.629,4.804
0.63,4.804
0.631,4.804
0.632,4.919
0.633,4.919
0.634,5.129
0.635,5.129
0.636,5.129
0.637,5.187
0.638,5.187
0.639,5.26
0.64,5.26
0.641,5.26
0.642,5.23
0.643,5.23
0.644,5.155
0.645,5.155
0.646,5.155
0.647,4.673
0.648,4.673
0.649,5.062
0.65,5.062
0.651,5.062
0.652,4.722
0.653,4.722
0.654,4.657
0.655,4.657
0.656,4.657
0.657,4.7
0.658,4.7
0.659,5.21
0.66,5.21
0.661,5.21
0.662,5.293
0.663,5.293
0.664,5.401
0.665,5.401
0.666,5.401
0.667,5.401
0.668,5.401
0.669,5.401
0.67,5.401
0.671,
0.672,5.407
0.673,5.407
0.674,5.412
0.675,5.412
0.676,5.412
0.677,5.411
0.678,5.411
0.679,5.401
0.68,5.401
0.681,5.401
0.682,5.363
0.683,5.363
0.684,5.339
0.685,5.339
0.686,5.339
0.687,2.874
0.6880000000000001,2.874
0.6890000000000001,4.383
0.69,4.383
0.6910000000000001,4.383
0.692,4.66
0.6930000000000001,4.66
0.694,3.553
0.6950000000000001,3.553
0.696,3.553
0.6970000000000001,4.994
0.698,4.994
0.6990000000000001,4.273
0.7,4.273
0.7010000000000001,4.273
0.702,4.67
0.7030000000000001,4.67
0.704,4.896
0.7050000000000001,4.896
0.706,4.896
0.7070000000000001,4.695
0.708,4.695
0.7090000000000001,4.769
0.71,4.769
0.7110000000000001,4.769
0.712,4.959
0.7130000000000001,4.959
0.714,4.387
0.7150000000000001,4.387
0.716,4.387
0.7170000000000001,2.472
0.718,2.472
0.7190000000000001,2.022
0.72,2.022
0.7210000000000001,2.022
0.722,4.728
0.7230000000000001,4.728
0.724,2.986
0.7250000000000001,2.986
0.726,2.986
0.7270000000000001,2.852
0.728,2.852
0.7290000000000001,3.293
0.73,3.293
0.7310000000000001,3.293
0.732,3.908
0.7330000000000001,3.908
0.734,3.845
0.7350000000000001,3.845
0.736,3.845
0.7370000000000001,4.472
0.738,4.472
0.7390000000000001,4.267
0.74,4.267
0.7410000000000001,4.267
0.742,4.683
0.7430000000000001,4.683
0.744,5.027
0.7450000000000001,5.027
0.746,5.027
0.7470000000000001,5.026
0.748,5.026
0.7490000000000001,5.014
0.75,5.014
0.7510000000000001,5.014
0.752,5.001
0.753,5.001
0.754,4.988
0.755,4.988
0.756,4.988
0.757,4.971
0.758,4.971
0.759,0.485
0.76,0.485
0.761,
0.762,1.833
0.763,1.833
0.764,2.479
0.765,2.479
0.766,2.479
0.767,4.242
0.768,4.242
0.769,4.731
0.77,4.731
0.771,4.731
0.772,4.829
0.773,4.829
0.774,4.865
0.775,4.865
0.776,4.865
0.777,4.866
0.778,4.866
0.779,4.85
0.78,4.85
0.781,4.85
0.782,4.841
0.783,4.841
0.784,4.786
0.785,4.786
0.786,4.786
0.787,4.36
0.788,4.36
0.789,4.075
0.79,4.075
0.791,4.075
0.792,4.462
0.793,4.462
0.794,4.34
0.795,4.34
0.796,4.34
0.797,4.414
0.798,4.414
0.799,4.478
0.8,4.478
0.801,4.478
0.802,4.338
0.803,4.338
0.804,4.02
0.805,4.02
0.806,4.02
0.807,4.41
0.808,4.41
0.809,4.213
0.81,4.213
0.811,4.213
0.812,3.248
0.8130000000000001,3.248
0.8140000000000001,2.206
0.8150000000000001,2.206
0.8160000000000001,2.206
0.817,2.554
0.8180000000000001,2.554
0.819,2.613
0.8200000000000001,2.613
0.821,2.613
0.8220000000000001,1.731
0.823,1.731
0.8240000000000001,3.166
0.825,3.166
0.8260000000000001,3.166
0.827,2.684
0.8280000000000001,2.684
0.829,3.394
0.8300000000000001,3.394
0.831,3.394
0.8320000000000001,2.587
0.833,2.587
0.8340000000000001,3.699
0.835,3.699
0.8360000000000001,3.699
0.837,3.694
0.8380000000000001,3.694
0.839,3.789
0.8400000000000001,3.789
0.841,3.789
0.8420000000000001,4.26
0.843,4.26
0.8440000000000001,4.156
0.845,4.156
0.8460000000000001,4.156
0.847,4.156
0.8480000000000001,4.156
0.849,4.03
0.8500000000000001,4.03
0.851,4.03
0.8520000000000001,3.885
