lambda,radiance
0.4,126.539
0.401,
0.402,129.285
0.403,129.285
0.404,132.043
0.405,132.043
0.406,132.043
0.40700000000000003,135.793
0.40800000000000003,135.793
0.40900000000000003,139.575
0.41000000000000003,139.575
0.41100000000000003,139.575
0.41200000000000003,144.162
0.41300000000000003,144.162
0.41400000000000003,148.752
0.41500000000000004,148.752
0.41600000000000004,148.752
0.41700000000000004,147.331
0.41800000000000004,147.331
0.41900000000000004,145.843
0.42000000000000004,145.843
0.42100000000000004,145.843
0.42200000000000004,146.139
0.42300000000000004,146.139
0.42400000000000004,146.401
0.42500000000000004,146.401
0.42600000000000005,146.401
0.42700000000000005,139.271
0.42800000000000005,139.271
0.42900000000000005,131.979
0.43000000000000005,131.979
0.43100000000000005,131.979
0.43200000000000005,144.458
0.43300000000000005,144.458
0.43400000000000005,157.103
0.43500000000000005,157.103
0.43600000000000005,157.103
0.437,159.66
0.438,159.66
0.439,162.224
0.44,162.224
0.441,162.224
0.442,169.759
0.443,169.759
0.444,177.28
0.445,177.28
0.446,177.28
0.447,184.342
0.448,184.342
0.449,191.486
0.45,191.486
0.451,191.486
0.452,190.972
0.453,190.972
0.454,190.388
0.455,190.388
0.456,190.388
0.457,192.273
0.458,192.273
0.459,194.153
0.46,194.153
0.461,194.153
0.462,193.78
0.463,193.78
0.464,193.695
0.465,193.695
0.466,193.695
0.467,193.691
0.468,193.691
0.46900000000000003,193.369
0.47000000000000003,193.369
0.47100000000000003,
0.47200000000000003,195.84
0.47300000000000003,195.84
0.47400000000000003,198.182
0.47500000000000003,198.182
0.47600000000000003,198.182
0.47700000000000004,200.704
0.47800000000000004,200.704
0.47900000000000004,203.192
0.48000000000000004,203.192
0.48100000000000004,203.192
0.48200000000000004,195.128
0.48300000000000004,195.128
0.48400000000000004,187.039
0.48500000000000004,187.039
0.48600000000000004,187.039
0.48700000000000004,190.698
0.488,190.698
0.489,194.331
0.49,194.331
0.491,194.331
0.492,197.025
0.493,197.025
0.494,199.697
0.495,199.697
0.496,199.697
0.497,195.984
0.498,195.984
0.499,192.25
0.5,192.25
0.501,192.25
0.502,194.372
0.503,194.372
0.504,196.492
0.505,196.492
0.506,196.492
0.507,197.263
0.508,197.263
0.509,198.039
0.51,198.039
0.511,198.039
0.512,192.824
0.513,192.824
0.514,187.559
0.515,187.559
0.516,
0.517,186.725
0.518,186.725
0.519,185.821
0.52,185.821
0.521,185.821
0.522,188.956
0.523,188.956
0.524,192.074
0.525,192.074
0.526,192.074
0.527,194.709
0.528,194.709
0.529,197.266
0.53,197.266
0.531,197.266
0.532,196.701
0.533,196.701
0.534,196.383
0.535,196.383
0.536,196.383
0.537,194.322
0.538,194.322
0.539,192.242
0.54,192.242
0.541,192.242
0.542,193.85
0.543,193.85
0.544,195.381
0.545,195.381
0.546,195.381
0.547,195.154
0.548,195.154
0.549,194.891
0.55,194.891
0.551,
0.552,194.966
0.553,194.966
0.554,195.038
0.555,195.038
0.556,195.038
0.557,192.489
0.558,192.489
0.559,189.93
0.56,189.93
0.561,189.93
0.562,190.856
0.5630000000000001,190.856
0.5640000000000001,191.802
0.5650000000000001,191.802
0.5660000000000001,191.802
0.5670000000000001,191.09
0.5680000000000001,191.09
0.5690000000000001,183.858
0.5700000000000001,183.858
0.5710000000000001,183.858
0.5720000000000001,190.981
0.5730000000000001,190.981
0.5740000000000001,190.603
0.5750000000000001,190.603
0.5760000000000001,190.603
0.577,191.377
0.5780000000000001,191.377
0.579,191.845
0.5800000000000001,191.845
0.581,191.845
0.5820000000000001,192.869
0.583,192.869
0.5840000000000001,193.613
0.585,193.613
0.5860000000000001,193.613
0.587,185.957
0.5880000000000001,185.957
0.589,
0.5900000000000001,156.271
0.591,156.271
0.5920000000000001,167.399
0.593,167.399
0.5940000000000001,173.959
0.595,173.959
0.5960000000000001,173.959
0.597,182.019
0.5980000000000001,182.019
0.599,186.074
0.6000000000000001,186.074
0.601,186.074
0.6020000000000001,186.196
0.603,186.196
0.6040000000000001,187.383
0.605,187.383
0.6060000000000001,187.383
0.607,186.36
0.6080000000000001,186.36
0.609,185.335
0.61,185.335
0.611,185.335
0.612,183.519
0.613,183.519
0.614,181.676
0.615,181.676
0.616,181.676
0.617,183.95
0.618,183.95
0.619,186.154
0.62,186.154
0.621,186.154
0.622,184.557
0.623,184.557
0.624,182.939
0.625,182.939
0.626,182.939
0.627,180.12
0.628,180.12
0.629,176.949
0.63,176.949
0.631,176.949
0.632,179.357
0.633,179.357
0.634,182.333
0.635,182.333
0.636,182.333
0.637,182.679
0.638,182.679
0.639,183.11
0.64,183.11
0.641,183.11
0.642,182.229
0.643,182.229
0.644,180.671
0.645,180.671
0.646,180.671
0.647,170.744
0.648,170.744
0.649,176.832
0.65,176.832
0.651,176.832
0.652,168.839
0.653,168.839
0.654,165.048
0.655,165.048
0.656,165.048
0.657,166.8
0.658,166.8
0.659,176.592
0.66,176.592
0.661,176.592
0.662,178.237
0.663,178.237
0.664,180.22
0.665,180.22
0.666,180.22
0.667,179.535
0.668,179.535
0.669,178.852
0.67,178.852
0.671,
0.672,178.393
0.673,178.393
0.674,177.925
0.675,177.925
0.676,177.925
0.677,177.339
0.678,177.339
0.679,176.625
0.68,176.625
0.681,176.625
0.682,175.125
0.683,175.125
0.684,173.801
0.685,173.801
0.686,173.801
0.687,118.527
0.6880000000000001,118.527
0.6890000000000001,153.366
0.69,153.366
0.6910000000000001,153.366
0.692,160.669
0.6930000000000001,160.669
0.694,137.107
0.6950000000000001,137.107
0.696,137.107
0.6970000000000001,165.899
0.698,165.899
0.6990000000000001,150.595
0.7,150.595
0.7010000000000001,150.595
0.702,157.73
0.7030000000000001,157.73
0.704,163.12
0.7050000000000001,163.12
0.706,163.12
0.7070000000000001,159.807
0.708,159.807
0.7090000000000001,160.697
0.71,160.697
0.7110000000000001,160.697
0.712,162.702
0.7130000000000001,162.702
0.714,152.432
0.7150000000000001,152.432
0.716,152.432
0.7170000000000001,105.92
0.718,105.92
0.7190000000000001,91.964
0.72,91.964
0.7210000000000001,91.964
0.722,156.173
0.7230000000000001,156.173
0.724,119.931
0.7250000000000001,119.931
0.726,119.931
0.7270000000000001,113.523
0.728,113.523
0.7290000000000001,126.986
0.73,126.986
0.7310000000000001,126.986
0.732,137.923
0.7330000000000001,137.923
0.734,138.802
0.7350000000000001,138.802
0.736,138.802
0.7370000000000001,149.893
0.738,149.893
0.7390000000000001,144.764
0.74,144.764
0.7410000000000001,144.764
0.742,152.466
0.7430000000000001,152.466
0.744,157.681
0.7450000000000001,157.681
0.746,157.681
0.7470000000000001,157.132
0.748,157.132
0.7490000000000001,156.444
0.75,156.444
0.7510000000000001,156.444
0.752,155.836
0.753,155.836
0.754,155.225
0.755,155.225
0.756,155.225
0.757,154.503
0.758,154.503
0.759,35.824
0.76,35.824
0.761,
0.762,82.154
0.763,82.154
0.764,98.853
0.765,98.853
0.766,98.853
0.767,138.495
0.768,138.495
0.769,147.781
0.77,147.781
0.771,147.781
0.772,149.309
0.773,149.309
0.774,149.665
0.775,149.665
0.776,149.665
0.777,149.37
0.778,149.37
0.779,148.872
0.78,148.872
0.781,148.872
0.782,148.429
0.783,148.429
0.784,147.404
0.785,147.404
0.786,147.404
0.787,140.508
0.788,140.508
0.789,135.03
0.79,135.03
0.791,135.03
0.792,140.517
0.793,140.517
0.794,138.475
0.795,138.475
0.796,138.475
0.797,139.784
0.798,139.784
0.799,140.72
0.8,140.72
0.801,140.72
0.802,137.858
0.803,137.858
0.804,132.417
0.805,132.417
0.806,132.417
0.807,138.08
0.808,138.08
0.809,134.791
0.81,134.791
0.811,134.791
0.812,117.215
0.8130000000000001,117.215
0.8140000000000001,91.134
0.8150000000000001,91.134
0.8160000000000001,91.134
0.817,96.967
0.8180000000000001,96.967
0.819,97.844
0.8200000000000001,97.844
0.821,97.844
0.8220000000000001,76.207
0.823,76.207
0.8240000000000001,110.514
0.825,110.514
0.8260000000000001,110.514
0.827,99.664
0.8280000000000001,99.664
0.829,115.924
0.8300000000000001,115.924
0.831,115.924
0.8320000000000001,96.701
0.833,96.701
0.8340000000000001,121.909
0.835,121.909
0.8360000000000001,121.909
0.837,122.379
0.8380000000000001,122.379
0.839,124.108
0.8400000000000001,124.108
0.841,124.108
0.8420000000000001,130.641
0.843,130.641
0.8440000000000001,128.771
0.845,128.771
0.8460000000000001,128.771
0.847,127.387
0.8480000000000001,127.387
0.849,124.338
0.8500000000000001,124.338
0.851,124.338
0.8520000000000001,120.603
0.853,120.603
0.8540000000000001,119.229
0.855,119.229
0.8560000000000001,119.229
0.857,122.629
0.8580000000000001,122.629
0.859,127.867
0.8600000000000001,127.867
0.861,
0.8620000000000001,124.812
0.863,124.812
0.8640000000000001,121.864
0.865,121.864
0.8660000000000001,121.864
0.867,122.643
0.8680000000000001,122.643
0.869,123.491
0.8700000000000001,123.491
0.871,123.491
0.8720000000000001,125.642
0.873,125.642
0.8740000000000001,127.674
0.875,127.674
0.8760000000000001,127.674
0.877,126.738
0.8780000000000001,126.738
0.879,125.605
0.88,125.605
0.881,125.605
0.882,123.75
0.883,123.75
0.884,123.781
0.885,123.781
0.886,123.781
0.887,123.426
0.888,123.426
0.889,119.572
0.89,119.572
0.891,119.572
0.892,120.773
0.893,120.773
0.894,97.622
0.895,97.622
0.896,97.622
0.897,76.285
0.898,76.285
0.899,72.628
0.9,72.628
