lambda,radiance
0.4,55.165
0.401,
0.402,56.48
0.403,56.48
0.404,57.804
0.405,57.804
0.406,57.804
0.40700000000000003,59.566
0.40800000000000003,59.566
0.40900000000000003,61.345
0.41000000000000003,61.345
0.41100000000000003,61.345
0.41200000000000003,63.484
0.41300000000000003,63.484
0.41400000000000003,65.627
0.41500000000000004,65.627
0.41600000000000004,65.627
0.41700000000000004,65.119
0.41800000000000004,65.119
0.41900000000000004,64.577
0.42000000000000004,64.577
0.42100000000000004,64.577
0.42200000000000004,64.821
0.42300000000000004,64.821
0.42400000000000004,65.049
0.42500000000000004,65.049
0.42600000000000005,65.049
0.42700000000000005,61.985
0.42800000000000005,61.985
0.42900000000000005,58.836
0.43000000000000005,58.836
0.43100000000000005,58.836
0.43200000000000005,64.503
0.43300000000000005,64.503
0.43400000000000005,70.26
0.43500000000000005,70.26
0.43600000000000005,70.26
0.437,71.515
0.438,71.515
0.439,72.774
0.44,72.774
0.441,72.774
0.442,76.268
0.443,76.268
0.444,79.756
0.445,79.756
0.446,79.756
0.447,83.044
0.448,83.044
0.449,86.375
0.45,86.375
0.451,86.375
0.452,86.254
0.453,86.254
0.454,86.098
0.455,86.098
0.456,86.098
0.457,87.057
0.458,87.057
0.459,88.013
0.46,88.013
0.461,88.013
0.462,87.947
0.463,87.947
0.464,88.014
0.465,88.014
0.466,88.014
0.467,88.118
0.468,88.118
0.46900000000000003,88.07
0.47000000000000003,88.07
0.47100000000000003,
0.47200000000000003,89.293
0.47300000000000003,89.293
0.47400000000000003,90.457
0.47500000000000003,90.457
0.47600000000000003,90.457
0.47700000000000004,91.703
0.47800000000000004,91.703
0.47900000000000004,92.934
0.48000000000000004,92.934
0.48100000000000004,92.934
0.48200000000000004,89.336
0.48300000000000004,89.336
0.48400000000000004,85.719
0.48500000000000004,85.719
0.48600000000000004,85.719
0.48700000000000004,87.486
0.488,87.486
0.489,89.235
0.49,89.235
0.491,89.235
0.492,90.548
0.493,90.548
0.494,91.853
0.495,91.853
0.496,91.853
0.497,90.213
0.498,90.213
0.499,88.561
0.5,88.561
0.501,88.561
0.502,89.604
0.503,89.604
0.504,90.647
0.505,90.647
0.506,90.647
0.507,91.075
0.508,91.075
0.509,91.505
0.51,91.505
0.511,91.505
0.512,89.163
0.513,89.163
0.514,86.794
0.515,86.794
0.516,
0.517,86.468
0.518,86.468
0.519,86.109
0.52,86.109
0.521,86.109
0.522,87.62
0.523,87.62
0.524,89.124
0.525,89.124
0.526,89.124
0.527,90.404
0.528,90.404
0.529,91.647
0.53,91.647
0.531,91.647
0.532,91.441
0.533,91.441
0.534,91.352
0.535,91.352
0.536,91.352
0.537,90.451
0.538,90.451
0.539,89.539
0.54,89.539
0.541,89.539
0.542,90.344
0.543,90.344
0.544,91.113
0.545,91.113
0.546,91.113
0.547,91.06
0.548,91.06
0.549,90.989
0.55,90.989
0.551,
0.552,91.063
0.553,91.063
0.554,91.134
0.555,91.134
0.556,91.134
0.557,89.979
0.558,89.979
0.559,88.818
0.56,88.818
0.561,88.818
0.562,89.286
0.5630000000000001,89.286
0.5640000000000001,89.764
0.5650000000000001,89.764
0.5660000000000001,89.764
0.5670000000000001,89.465
0.5680000000000001,89.465
0.5690000000000001,86.03
0.5700000000000001,86.03
0.5710000000000001,86.03
0.5720000000000001,89.473
0.5730000000000001,89.473
0.5740000000000001,89.306
0.5750000000000001,89.306
0.5760000000000001,89.306
0.577,89.731
0.5780000000000001,89.731
0.579,90.009
0.5800000000000001,90.009
0.581,90.009
0.5820000000000001,90.534
0.583,90.534
0.5840000000000001,90.925
0.585,90.925
0.5860000000000001,90.925
0.587,87.319
0.5880000000000001,87.319
0.589,
0.5900000000000001,73.164
0.591,73.164
0.5920000000000001,78.495
0.593,78.495
0.5940000000000001,81.648
0.595,81.648
0.5960000000000001,81.648
0.597,85.576
0.5980000000000001,85.576
0.599,87.582
0.6000000000000001,87.582
0.601,87.582
0.6020000000000001,87.663
0.603,87.663
