lambda,radiance
0.4,10.641
0.401,
0.402,10.909
0.403,10.909
0.404,11.179
0.405,11.179
0.406,11.179
0.40700000000000003,11.534
0.40800000000000003,11.534
0.40900000000000003,11.894
0.41000000000000003,11.894
0.41100000000000003,11.894
0.41200000000000003,12.324
0.41300000000000003,12.324
0.41400000000000003,12.755
0.41500000000000004,12.755
0.41600000000000004,12.755
0.41700000000000004,12.671
0.41800000000000004,12.671
0.41900000000000004,12.58
0.42000000000000004,12.58
0.42100000000000004,12.58
0.42200000000000004,12.642
0.42300000000000004,12.642
0.42400000000000004,12.7
0.42500000000000004,12.7
0.42600000000000005,12.7
0.42700000000000005,12.115
0.42800000000000005,12.115
0.42900000000000005,11.512
0.43000000000000005,11.512
0.43100000000000005,11.512
0.43200000000000005,12.634
0.43300000000000005,12.634
0.43400000000000005,13.776
0.43500000000000005,13.776
0.43600000000000005,13.776
0.437,14.036
0.438,14.036
0.439,14.297
0.44,14.297
0.441,14.297
0.442,14.999
0.443,14.999
0.444,15.699
0.445,15.699
0.446,15.699
0.447,16.36
0.448,16.36
0.449,17.031
0.45,17.031
0.451,17.031
0.452,17.022
0.453,17.022
0.454,17.005
0.455,17.005
0.456,17.005
0.457,17.209
0.458,17.209
0.459,17.412
0.46,17.412
0.461,17.412
0.462,17.413
0.463,17.413
0.464,17.44
0.465,17.44
0.466,17.44
0.467,17.474
0.468,17.474
0.46900000000000003,17.478
0.47000000000000003,17.478
0.47100000000000003,
0.47200000000000003,17.734
0.47300000000000003,17.734
0.47400000000000003,17.978
0.47500000000000003,17.978
0.47600000000000003,17.978
0.47700000000000004,18.239
0.47800000000000004,18.239
0.47900000000000004,18.497
0.48000000000000004,18.497
0.48100000000000004,18.497
0.48200000000000004,17.794
0.48300000000000004,17.794
0.48400000000000004,17.085
0.48500000000000004,17.085
0.48600000000000004,17.085
0.48700000000000004,17.449
0.488,17.449
0.489,17.809
0.49,17.809
0.491,17.809
0.492,18.082
0.493,18.082
0.494,18.353
0.495,18.353
0.496,18.353
0.497,18.036
0.498,18.036
0.499,17.716
0.5,17.716
0.501,17.716
0.502,17.934
0.503,17.934
0.504,18.153
0.505,18.153
0.506,18.153
0.507,18.249
0.508,18.249
0.509,18.345
0.51,18.345
0.511,18.345
0.512,17.885
0.513,17.885
0.514,17.419
0.515,17.419
0.516,
0.517,17.363
0.518,17.363
0.519,17.299
0.52,17.299
0.521,17.299
0.522,17.612
0.523,17.612
