lambda,radiance
0.4,151.708
0.401,
0.402,154.88
0.403,154.88
0.404,158.064
0.405,158.064
0.406,158.064
0.40700000000000003,162.434
0.40800000000000003,162.434
0.40900000000000003,166.839
0.41000000000000003,166.839
0.41100000000000003,166.839
0.41200000000000003,172.203
0.41300000000000003,172.203
0.41400000000000003,177.565
0.41500000000000004,177.565
0.41600000000000004,177.565
0.41700000000000004,175.753
0.41800000000000004,175.753
0.41900000000000004,173.866
0.42000000000000004,173.866
0.42100000000000004,173.866
0.42200000000000004,174.109
0.42300000000000004,174.109
0.42400000000000004,174.316
0.42500000000000004,174.316
0.42600000000000005,174.316
0.42700000000000005,165.727
0.42800000000000005,165.727
0.42900000000000005,156.957
0.43000000000000005,156.957
0.43100000000000005,156.957
0.43200000000000005,171.701
0.43300000000000005,171.701
0.43400000000000005,186.626
0.43500000000000005,186.626
0.43600000000000005,186.626
0.437,189.561
0.438,189.561
0.439,192.503
0.44,192.503
0.441,192.503
0.442,201.341
0.443,201.341
0.444,210.159
0.445,210.159
0.446,210.159
0.447,218.43
0.448,218.43
0.449,226.792
0.45,226.792
0.451,226.792
0.452,226.082
0.453,226.082
0.454,225.291
0.455,225.291
0.456,225.291
0.457,227.422
0.458,227.422
0.459,229.546
0.46,229.546
0.461,229.546
0.462,229.008
0.463,229.008
0.464,228.819
0.465,228.819
0.466,228.819
0.467,228.729
0.468,228.729
0.46900000000000003,228.26
0.47000000000000003,228.26
0.47100000000000003,
0.47200000000000003,231.084
0.47300000000000003,231.084
0.47400000000000003,233.755
0.47500000000000003,233.755
0.47600000000000003,233.755
0.47700000000000004,236.637
0.47800000000000004,236.637
0.47900000000000004,239.478
0.48000000000000004,239.478
0.48100000000000004,239.478
0.48200000000000004,229.888
0.48300000000000004,229.888
0.48400000000000004,220.279
0.48500000000000004,220.279
0.48600000000000004,220.279
0.48700000000000004,224.514
0.488,224.514
0.489,228.723
0.49,228.723
0.491,228.723
0.492,231.822
0.493,231.822
0.494,234.895
0.495,234.895
0.496,234.895
0.497,230.451
0.498,230.451
0.499,225.987
0.5,225.987
0.501,225.987
0.502,228.407
0.503,228.407
0.504,230.824
0.505,230.824
0.506,230.824
0.507,231.669
0.508,231.669
0.509,232.518
0.51,232.518
0.511,232.518
0.512,226.336
0.513,226.336
0.514,220.099
0.515,220.099
0.516,
0.517,219.057
0.518,219.057
0.519,217.935
0.52,217.935
0.521,217.935
0.522,221.548
0.523,221.548
0.524,225.141
0.525,225.141
0.526,225.141
0.527,228.165
0.528,228.165
0.529,231.095
0.53,231.095
0.531,231.095
0.532,230.37
0.533,230.37
0.534,229.94
0.535,229.94
0.536,229.94
0.537,227.471
0.538,227.471
0.539,224.982
0.54,224.982
0.541,224.982
0.542,226.81
0.543,226.81
0.544,228.546
0.545,228.546
0.546,228.546
0.547,228.225
0.548,228.225
0.549,227.863
0.55,227.863
0.551,
0.552,227.904
0.553,227.904
0.554,227.942
0.555,227.942
0.556,227.942
0.557,224.918
0.558,224.918
0.559,221.882
0.56,221.882
0.561,221.882
0.562,222.92
0.5630000000000001,222.92
0.5640000000000001,223.982
0.5650000000000001,223.982
0.5660000000000001,223.982
0.5670000000000001,223.107
0.5680000000000001,223.107
0.5690000000000001,214.508
0.5700000000000001,214.508
0.5710000000000001,214.508
0.5720000000000001,222.883
0.5730000000000001,222.883
0.5740000000000001,222.368
0.5750000000000001,222.368
0.5760000000000001,222.368
0.577,223.269
0.5780000000000001,223.269
0.579,223.811
0.5800000000000001,223.811
0.581,223.811
0.5820000000000001,224.982
0.583,224.982
0.5840000000000001,225.821
0.585,225.821
0.5860000000000001,225.821
0.587,216.797
0.5880000000000001,216.797
0.589,
0.5900000000000001,181.822
0.591,181.822
0.5920000000000001,194.87
0.593,194.87
0.5940000000000001,202.546
0.595,202.546
0.5960000000000001,202.546
0.597,212.06
0.5980000000000001,212.06
0.599,216.849
0.6000000000000001,216.849
0.601,216.849
0.6020000000000001,216.953
0.603,216.953
0.6040000000000001,218.316
0.605,218.316
0.6060000000000001,218.316
0.607,217.107
0.6080000000000001,217.107
0.609,215.895
0.61,215.895
0.611,215.895
0.612,213.764
0.613,213.764
0.614,211.604
0.615,211.604
0.616,211.604
0.617,214.237
0.618,214.237
0.619,216.788
0.62,216.788
0.621,216.788
0.622,214.912
0.623,214.912
0.624,213.013
0.625,213.013
0.626,213.013
0.627,209.66
0.628,209.66
0.629,205.911
0.63,205.911
0.631,205.911
0.632,208.723
0.633,208.723
0.634,212.226
0.635,212.226
0.636,212.226
0.637,212.63
0.638,212.63
0.639,213.138
0.64,213.138
0.641,213.138
0.642,212.089
0.643,212.089
0.644,210.238
0.645,210.238
0.646,210.238
0.647,198.55
0.648,198.55
0.649,205.731
0.65,205.731
0.651,205.731
0.652,196.352
0.653,196.352
0.654,191.939
0.655,191.939
0.656,191.939
0.657,193.955
0.658,193.955
0.659,205.45
0.66,205.45
0.661,205.45
0.662,207.359
0.663,207.359
0.664,209.669
0.665,209.669
0.666,209.669
0.667,208.861
0.668,208.861
0.669,208.056
0.67,208.056
0.671,
0.672,207.516
0.673,207.516
0.674,206.966
0.675,206.966
0.676,206.966
0.677,206.277
0.678,206.277
0.679,205.439
0.68,205.439
0.681,205.439
0.682,203.683
0.683,203.683
0.684,202.137
0.685,202.137
0.686,202.137
0.687,137.381
0.6880000000000001,137.381
0.6890000000000001,178.163
0.69,178.163
0.6910000000000001,178.163
0.692,186.686
0.6930000000000001,186.686
0.694,159.031
0.6950000000000001,159.031
0.696,159.031
0.6970000000000001,192.834
0.698,192.834
0.6990000000000001,174.873
0.7,174.873
0.7010000000000001,174.873
0.702,183.252
0.7030000000000001,183.252
0.704,189.551
0.7050000000000001,189.551
0.706,189.551
0.7070000000000001,185.643
0.708,185.643
0.7090000000000001,186.691
0.71,186.691
0.7110000000000001,186.691
0.712,189.065
0.7130000000000001,189.065
0.714,176.981
0.7150000000000001,176.981
0.716,176.981
0.7170000000000001,122.583
0.718,122.583
0.7190000000000001,106.333
0.72,106.333
0.7210000000000001,106.333
0.722,181.4
