lambda,radiance
0.4,11.05
0.401,
0.402,11.309
0.403,11.309
0.404,11.571
0.405,11.571
0.406,11.571
0.40700000000000003,11.92
0.40800000000000003,11.92
0.40900000000000003,12.273
0.41000000000000003,12.273
0.41100000000000003,12.273
0.41200000000000003,12.698
0.41300000000000003,12.698
0.41400000000000003,13.125
0.41500000000000004,13.125
0.41600000000000004,13.125
0.41700000000000004,13.022
0.41800000000000004,13.022
0.41900000000000004,12.912
0.42000000000000004,12.912
0.42100000000000004,12.912
0.42200000000000004,12.96
0.42300000000000004,12.96
0.42400000000000004,13.005
0.42500000000000004,13.005
0.42600000000000005,13.005
0.42700000000000005,12.385
0.42800000000000005,12.385
0.42900000000000005,11.748
0.43000000000000005,11.748
0.43100000000000005,11.748
0.43200000000000005,12.87
0.43300000000000005,12.87
0.43400000000000005,14.009
0.43500000000000005,14.009
0.43600000000000005,14.009
0.437,14.25
0.438,14.25
0.439,14.492
0.44,14.492
0.441,14.492
0.442,15.178
0.443,15.178
0.444,15.865
0.445,15.865
0.446,15.865
0.447,16.515
0.448,16.515
0.449,17.178
0.45,17.178
0.451,17.178
0.452,17.149
0.453,17.149
0.454,17.105
0.455,17.105
0.456,17.105
0.457,17.254
0.458,17.254
0.459,17.403
0.46,17.403
0.461,17.403
0.462,17.35
0.463,17.35
0.464,17.394
0.465,17.394
0.466,17.394
0.467,17.455
0.468,17.455
0.46900000000000003,17.422
0.47000000000000003,17.422
0.47100000000000003,
0.47200000000000003,17.627
0.47300000000000003,17.627
0.47400000000000003,17.791
0.47500000000000003,17.791
0.47600000000000003,17.791
0.47700000000000004,17.962
0.47800000000000004,17.962
0.47900000000000004,18.122
0.48000000000000004,18.122
0.48100000000000004,18.122
0.48200000000000004,17.372
0.48300000000000004,17.372
0.48400000000000004,16.634
0.48500000000000004,16.634
0.48600000000000004,16.634
0.48700000000000004,16.99
0.488,16.99
0.489,17.352
0.49,17.352
0.491,17.352
0.492,17.57
0.493,17.57
0.494,17.781
0.495,17.781
0.496,17.781
0.497,17.336
0.498,17.336
0.499,16.894
0.5,16.894
0.501,16.894
0.502,16.964
0.503,16.964
0.504,17.034
0.505,17.034
0.506,17.034
0.507,17.11
0.508,17.11
0.509,17.188
0.51,17.188
0.511,17.188
0.512,16.728
0.513,16.728
0.514,16.262
0.515,16.262
0.516,
0.517,16.123
0.518,16.123
0.519,15.965
0.52,15.965
0.521,15.965
0.522,16.148
0.523,16.148
0.524,16.325
0.525,16.325
0.526,16.325
0.527,16.444
0.528,16.444
0.529,16.54
0.53,16.54
0.531,16.54
0.532,16.391
0.533,16.391
0.534,16.317
0.535,16.317
0.536,16.317
0.537,16.099
0.538,16.099
0.539,15.881
0.54,15.881
0.541,15.881
0.542,15.967
0.543,15.967
0.544,16.032
0.545,16.032
0.546,16.032
0.547,15.942
0.548,15.942
0.549,15.845
0.55,15.845
0.551,
0.552,15.752
0.553,15.752
0.554,15.661
0.555,15.661
0.556,15.661
0.557,15.353
0.558,15.353
0.559,15.046
0.56,15.046
0.561,15.046
0.562,15.02
0.5630000000000001,15.02
0.5640000000000001,15.0
0.5650000000000001,15.0
0.5660000000000001,15.0
0.5670000000000001,14.852
0.5680000000000001,14.852
0.5690000000000001,13.22
0.5700000000000001,13.22
0.5710000000000001,13.22
0.5720000000000001,14.556
0.5730000000000001,14.556
0.5740000000000001,14.15
0.5750000000000001,14.15
0.5760000000000001,14.15
0.577,14.476
0.5780000000000001,14.476
0.579,14.773
0.5800000000000001,14.773
0.581,14.773
0.5820000000000001,14.936
0.583,14.936
0.5840000000000001,15.028
0.585,15.028
0.5860000000000001,15.028
0.587,13.869
0.5880000000000001,13.869
0.589,
0.5900000000000001,9.552
0.591,9.552
0.5920000000000001,10.921
0.593,10.921
0.5940000000000001,11.705
0.595,11.705
0.5960000000000001,11.705
0.597,13.341
0.5980000000000001,13.341
0.599,14.329
0.6000000000000001,14.329
0.601,14.329
0.6020000000000001,14.213
0.603,14.213
0.6040000000000001,14.384
0.605,14.384
0.6060000000000001,14.384
0.607,14.385
0.6080000000000001,14.385
0.609,14.387
0.61,14.387
0.611,14.387
0.612,14.35
0.613,14.35
0.614,14.309
0.615,14.309
0.616,14.309
0.617,14.591
0.618,14.591
0.619,14.854
0.62,14.854
0.621,14.854
0.622,14.813
0.623,14.813
0.624,14.769
0.625,14.769
0.626,14.769
0.627,14.121
0.628,14.121
0.629,13.666
0.63,13.666
0.631,13.666
0.632,14.033
0.633,14.033
0.634,14.851
0.635,14.851
0.636,14.851
0.637,15.086
0.638,15.086
0.639,15.403
0.64,15.403
0.641,15.403
0.642,15.292
0.643,15.292
0.644,15.007
0.645,15.007
0.646,15.007
0.647,13.316
0.648,13.316
0.649,14.762
0.65,14.762
0.651,14.762
0.652,13.589
0.653,13.589
0.654,13.477
0.655,13.477
0.656,13.477
0.657,13.575
0.658,13.575
0.659,15.396
0.66,15.396
0.661,15.396
0.662,15.692
0.663,15.692
0.664,16.094
0.665,16.094
0.666,16.094
0.667,16.116
0.668,16.116
0.669,16.14
0.67,16.14
0.671,
0.672,16.183
0.673,16.183
0.674,16.224
0.675,16.224
0.676,16.224
0.677,16.244
0.678,16.244
0.679,16.225
0.68,16.225
0.681,16.225
0.682,16.116
0.683,16.116
0.684,16.063
0.685,16.063
0.686,16.063
0.687,7.655
0.6880000000000001,7.655
0.6890000000000001,12.697
0.69,12.697
0.6910000000000001,12.697
0.692,13.561
0.6930000000000001,13.561
0.694,9.795
0.6950000000000001,9.795
0.696,9.795
0.6970000000000001,14.796
0.698,14.796
0.6990000000000001,12.318
0.7,12.318
0.7010000000000001,12.318
0.702,13.753
0.7030000000000001,13.753
0.704,14.478
0.7050000000000001,14.478
0.706,14.478
0.7070000000000001,13.681
0.708,13.681
0.7090000000000001,13.939
0.71,13.939
0.7110000000000001,13.939
0.712,14.737
0.7130000000000001,14.737
0.714,12.649
0.7150000000000001,12.649
0.716,12.649
0.7170000000000001,6.438
0.718,6.438
0.7190000000000001,5.101
0.72,5.101
0.7210000000000001,5.101
0.722,14.012
0.7230000000000001,14.012
0.724,8.022
0.7250000000000001,8.022
0.726,8.022
0.7270000000000001,7.69
0.728,7.69
0.7290000000000001,9.013
0.73,9.013
0.7310000000000001,9.013
0.732,11.189
0.7330000000000001,11.189
0.734,10.85
0.7350000000000001,10.85
0.736,10.85
0.7370000000000001,13.067
0.738,13.067
0.7390000000000001,12.411
0.74,12.411
0.7410000000000001,12.411
0.742,13.877
0.7430000000000001,13.877
0.744,15.223
0.7450000000000001,15.223
0.746,15.223
0.7470000000000001,15.24
0.748,15.24
0.7490000000000001,15.215
0.75,15.215
0.7510000000000001,15.215
0.752,15.177
0.753,15.177
0.754,15.139
0.755,15.139
0.756,15.139
0.757,15.09
0.758,15.09
0.759,0.942
0.76,0.942
0.761,
0.762,4.605
0.763,4.605
0.764,6.612
0.765,6.612
0.766,6.612
0.767,12.538
0.768,12.538
0.769,14.305
0.77,14.305
0.771,14.305
0.772,14.666
0.773,14.666
0.774,14.816
0.775,14.816
0.776,14.816
0.777,14.829
0.778,14.829
0.779,14.775
0.78,14.775
0.781,14.775
0.782,14.75
0.783,14.75
0.784,14.534
0.785,14.534
0.786,14.534
0.787,12.912
0.788,12.912
0.789,11.9
0.79,11.9
0.791,11.9
0.792,13.385
0.793,13.385
0.794,12.903
0.795,12.903
0.796,12.903
0.797,13.15
0.798,13.15
0.799,13.391
0.8,13.391
0.801,13.391
0.802,12.897
0.803,12.897
0.804,11.713
0.805,11.713
0.806,11.713
0.807,13.189
0.808,13.189
0.809,12.443
0.81,12.443
0.811,12.443
0.812,9.038
0.8130000000000001,9.038
0.8140000000000001,5.749
0.8150000000000001,5.749
0.8160000000000001,5.749
0.817,6.937
0.8180000000000001,6.937
0.819,7.143
0.8200000000000001,7.143
0.821,7.143
0.8220000000000001,4.36
0.823,4.36
0.8240000000000001,8.966
0.825,8.966
0.8260000000000001,8.966
0.827,7.364
0.8280000000000001,7.364
0.829,9.712
0.8300000000000001,9.712
0.831,9.712
0.8320000000000001,7.067
0.833,7.067
0.8340000000000001,10.749
0.835,10.749
0.8360000000000001,10.749
0.837,10.678
0.8380000000000001,10.678
0.839,11.003
0.8400000000000001,11.003
0.841,11.003
0.8420000000000001,12.823
0.843,12.823
0.8440000000000001,12.427
0.845,12.427
0.8460000000000001,12.427
0.847,12.503
0.8480000000000001,12.503
0.849,12.07
0.8500000000000001,12.07
0.851,12.07
0.8520000000000001,11.599
0.853,11.599
0.8540000000000001,11.756
0.855,11.756
0.8560000000000001,11.756
0.857,12.001
0.8580000000000001,12.001
0.859,12.811
0.8600000000000001,12.811
0.861,
0.8620000000000001,12.492
0.863,12.492
0.8640000000000001,12.211
0.865,12.211
0.8660000000000001,12.211
0.867,12.283
0.8680000000000001,12.283
0.869,12.378
0.8700000000000001,12.378
0.871,12.378
0.8720000000000001,12.596
0.873,12.596
0.8740000000000001,12.773
0.875,12.773
0.8760000000000001,12.773
0.877,12.683
0.8780000000000001,12.683
0.879,12.533
0.88,12.533
0.881,12.533
0.882,12.102
0.883,12.102
0.884,12.226
0.885,12.226
0.886,12.226
0.887,12.236
0.888,12.236
0.889,11.342
0.89,11.342
0.891,11.342
0.892,11.733
0.893,11.733
0.894,7.537
0.895,7.537
0.896,7.537
0.897,4.895
0.898,4.895
0.899,4.58
0.9,4.58
