lambda,radiance
0.4,51.262
0.401,
0.402,52.48
0.403,52.48
0.404,53.704
0.405,53.704
0.406,53.704
0.40700000000000003,55.335
0.40800000000000003,55.335
0.40900000000000003,56.983
0.41000000000000003,56.983
0.41100000000000003,56.983
0.41200000000000003,58.963
0.41300000000000003,58.963
0.41400000000000003,60.949
0.41500000000000004,60.949
0.41600000000000004,60.949
0.41700000000000004,60.473
0.41800000000000004,60.473
0.41900000000000004,59.964
0.42000000000000004,59.964
0.42100000000000004,59.964
0.42200000000000004,60.186
0.42300000000000004,60.186
0.42400000000000004,60.392
0.42500000000000004,60.392
0.42600000000000005,60.392
0.42700000000000005,57.543
0.42800000000000005,57.543
0.42900000000000005,54.616
0.43000000000000005,54.616
0.43100000000000005,54.616
0.43200000000000005,59.872
0.43300000000000005,59.872
0.43400000000000005,65.21
0.43500000000000005,65.21
0.43600000000000005,65.21
0.437,66.369
0.438,66.369
0.439,67.531
0.44,67.531
0.441,67.531
0.442,70.767
0.443,70.767
0.444,74.0
0.445,74.0
0.446,74.0
0.447,77.046
0.448,77.046
0.449,80.131
0.45,80.131
0.451,80.131
0.452,80.014
0.453,80.014
0.454,79.866
0.455,79.866
0.456,79.866
0.457,80.755
0.458,80.755
0.459,81.642
0.46,81.642
0.461,81.642
0.462,81.581
0.463,81.581
0.464,81.632
0.465,81.632
0.466,81.632
0.467,81.716
0.468,81.716
0.46900000000000003,81.669
0.47000000000000003,81.669
0.47100000000000003,
0.47200000000000003,82.803
0.47300000000000003,82.803
0.47400000000000003,83.887
0.47500000000000003,83.887
0.47600000000000003,83.887
0.47700000000000004,85.049
0.47800000000000004,85.049
0.47900000000000004,86.197
0.48000000000000004,86.197
0.48100000000000004,86.197
0.48200000000000004,82.862
0.48300000000000004,82.862
0.48400000000000004,79.507
0.48500000000000004,79.507
0.48600000000000004,79.507
0.48700000000000004,81.138
0.488,81.138
0.489,82.754
0.49,82.754
0.491,82.754
0.492,83.974
0.493,83.974
0.494,85.187
0.495,85.187
0.496,85.187
0.497,83.682
0.498,83.682
0.499,82.164
0.5,82.164
0.501,82.164
0.502,83.148
0.503,83.148
0.504,84.131
0.505,84.131
0.506,84.131
0.507,84.526
0.508,84.526
0.509,84.922
0.51,84.922
0.511,84.922
0.512,82.748
0.513,82.748
0.514,80.549
0.515,80.549
0.516,
0.517,80.256
0.518,80.256
0.519,79.934
0.52,79.934
0.521,79.934
0.522,81.349
0.523,81.349
0.524,82.758
0.525,82.758
0.526,82.758
0.527,83.962
0.528,83.962
0.529,85.135
0.53,85.135
0.531,85.135
0.532,84.958
0.533,84.958
0.534,84.882
0.535,84.882
0.536,84.882
0.537,84.051
0.538,84.051
0.539,83.21
0.54,83.21
0.541,83.21
0.542,83.964
0.543,83.964
0.544,84.686
0.545,84.686
0.546,84.686
0.547,84.647
0.548,84.647
0.549,84.592
0.55,84.592
0.551,
0.552,84.676
0.553,84.676
0.554,84.757
0.555,84.757
0.556,84.757
0.557,83.699
0.558,83.699
0.559,82.635
0.56,82.635
0.561,82.635
0.562,83.086
0.5630000000000001,83.086
0.5640000000000001,83.546
0.5650000000000001,83.546
0.5660000000000001,83.546
0.5670000000000001,83.283
0.5680000000000001,83.283
0.5690000000000001,80.301
0.5700000000000001,80.301
0.5710000000000001,80.301
0.5720000000000001,83.342
0.5730000000000001,83.342
0.5740000000000001,83.257
0.5750000000000001,83.257
0.5760000000000001,83.257
0.577,83.596
0.5780000000000001,83.596
0.579,83.807
0.5800000000000001,83.807
0.581,83.807
0.5820000000000001,84.28
0.583,84.28
0.5840000000000001,84.636
0.585,84.636
0.5860000000000001,84.636
0.587,81.395
0.5880000000000001,81.395
0.589,
0.5900000000000001,68.807
0.591,68.807
0.5920000000000001,73.593
0.593,73.593
0.5940000000000001,76.434
0.595,76.434
0.5960000000000001,76.434
0.597,79.832
0.5980000000000001,79.832
0.599,81.539
0.6000000000000001,81.539
0.601,81.539
0.6020000000000001,81.636
0.603,81.636
0.6040000000000001,82.177
0.605,82.177
0.6060000000000001,82.177
0.607,81.749
0.6080000000000001,81.749
0.609,81.319
0.61,81.319
0.611,81.319
0.612,80.539
0.613,80.539
0.614,79.747
0.615,79.747
0.616,79.747
0.617,80.762
0.618,80.762
0.619,81.748
0.62,81.748
0.621,81.748
0.622,81.064
0.623,81.064
0.624,80.371
0.625,80.371
0.626,80.371
0.627,79.211
0.628,79.211
0.629,77.881
0.63,77.881
0.631,77.881
0.632,78.931
0.633,78.931
0.634,80.197
0.635,80.197
0.636,80.197
0.637,80.347
0.638,80.347
0.639,80.531
0.64,80.531
0.641,80.531
0.642,80.172
0.643,80.172
0.644,79.527
0.645,79.527
0.646,79.527
0.647,75.311
0.648,75.311
0.649,77.882
0.65,77.882
0.651,77.882
0.652,74.452
0.653,74.452
0.654,72.785
0.655,72.785
0.656,72.785
0.657,73.582
0.658,73.582
0.659,77.781
0.66,77.781
0.661,77.781
0.662,78.511
0.663,78.511
0.664,79.383
0.665,79.383
0.666,79.383
0.667,79.093
0.668,79.093
0.669,78.804
0.67,78.804
0.671,
0.672,78.609
0.673,78.609
0.674,78.409
0.675,78.409
0.676,78.409
0.677,78.159
0.678,78.159
0.679,77.855
0.68,77.855
0.681,77.855
0.682,77.205
0.683,77.205
0.684,76.629
0.685,76.629
0.686,76.629
0.687,52.789
0.6880000000000001,52.789
0.6890000000000001,67.852
0.69,67.852
0.6910000000000001,67.852
0.692,71.039
0.6930000000000001,71.039
0.694,60.936
0.6950000000000001,60.936
0.696,60.936
0.6970000000000001,73.272
0.698,73.272
0.6990000000000001,66.707
0.7,66.707
0.7010000000000001,66.707
0.702,69.763
0.7030000000000001,69.763
0.704,72.106
0.7050000000000001,72.106
0.706,72.106
0.7070000000000001,70.706
0.708,70.706
0.7090000000000001,71.083
0.71,71.083
0.7110000000000001,71.083
0.712,71.921
0.7130000000000001,71.921
0.714,67.55
0.7150000000000001,67.55
0.716,67.55
0.7170000000000001,47.389
0.718,47.389
0.7190000000000001,41.258
0.72,41.258
0.7210000000000001,41.258
0.722,69.124
0.7230000000000001,69.124
0.724,53.541
0.7250000000000001,53.541
0.726,53.541
0.7270000000000001,50.676
0.728,50.676
0.7290000000000001,56.609
0.73,56.609
0.7310000000000001,56.609
0.732,61.279
0.7330000000000001,61.279
0.734,61.719
0.7350000000000001,61.719
0.736,61.719
0.7370000000000001,66.453
0.738,66.453
0.7390000000000001,64.231
0.74,64.231
0.7410000000000001,64.231
0.742,67.544
0.7430000000000001,67.544
0.744,69.776
0.7450000000000001,69.776
0.746,69.776
0.7470000000000001,69.538
0.748,69.538
0.7490000000000001,69.242
0.75,69.242
0.7510000000000001,69.242
0.752,68.983
0.753,68.983
0.754,68.723
0.755,68.723
0.756,68.723
0.757,68.413
0.758,68.413
0.759,16.45
0.76,16.45
0.761,
0.762,36.95
0.763,36.95
0.764,44.251
0.765,44.251
0.766,44.251
0.767,61.49
0.768,61.49
0.769,65.502
0.77,65.502
0.771,65.502
0.772,66.161
0.773,66.161
0.774,66.316
0.775,66.316
0.776,66.316
0.777,66.189
0.778,66.189
0.779,65.977
0.78,65.977
0.781,65.977
0.782,65.788
0.783,65.788
0.784,65.352
0.785,65.352
0.786,65.352
0.787,62.411
0.788,62.411
0.789,60.058
0.79,60.058
0.791,60.058
0.792,62.382
0.793,62.382
0.794,61.508
0.795,61.508
0.796,61.508
0.797,62.076
0.798,62.076
0.799,62.481
0.8,62.481
0.801,62.481
0.802,61.247
0.803,61.247
0.804,58.916
0.805,58.916
0.806,58.916
0.807,61.324
0.808,61.324
0.809,59.918
0.81,59.918
0.811,59.918
0.812,52.376
0.8130000000000001,52.376
0.8140000000000001,40.979
0.8150000000000001,40.979
