lambda,radiance
0.4,45.282
0.401,
0.402,46.376
0.403,46.376
0.404,47.478
0.405,47.478
0.406,47.478
0.40700000000000003,48.939
0.40800000000000003,48.939
0.40900000000000003,50.417
0.41000000000000003,50.417
0.41100000000000003,50.417
0.41200000000000003,52.189
0.41300000000000003,52.189
0.41400000000000003,53.966
0.41500000000000004,53.966
0.41600000000000004,53.966
0.41700000000000004,53.563
0.41800000000000004,53.563
0.41900000000000004,53.131
0.42000000000000004,53.131
0.42100000000000004,53.131
0.42200000000000004,53.346
0.42300000000000004,53.346
0.42400000000000004,53.548
0.42500000000000004,53.548
0.42600000000000005,53.548
0.42700000000000005,51.039
0.42800000000000005,51.039
0.42900000000000005,48.458
0.43000000000000005,48.458
0.43100000000000005,48.458
0.43200000000000005,53.138
0.43300000000000005,53.138
0.43400000000000005,57.895
0.43500000000000005,57.895
0.43600000000000005,57.895
0.437,58.942
0.438,58.942
0.439,59.994
0.44,59.994
0.441,59.994
0.442,62.889
0.443,62.889
0.444,65.779
0.445,65.779
0.446,65.779
0.447,68.504
0.448,68.504
0.449,71.267
0.45,71.267
0.451,71.267
0.452,71.181
0.453,71.181
0.454,71.066
0.455,71.066
0.456,71.066
0.457,71.87
0.458,71.87
0.459,72.672
0.46,72.672
0.461,72.672
0.462,72.63
0.463,72.63
0.464,72.7
0.465,72.7
0.466,72.7
0.467,72.8
0.468,72.8
0.46900000000000003,72.773
0.47000000000000003,72.773
0.47100000000000003,
0.47200000000000003,73.795
0.47300000000000003,73.795
0.47400000000000003,74.768
0.47500000000000003,74.768
0.47600000000000003,74.768
0.47700000000000004,75.808
0.47800000000000004,75.808
0.47900000000000004,76.836
0.48000000000000004,76.836
0.48100000000000004,76.836
0.48200000000000004,73.873
0.48300000000000004,73.873
0.48400000000000004,70.892
0.48500000000000004,70.892
0.48600000000000004,70.892
0.48700000000000004,72.366
0.488,72.366
0.489,73.823
0.49,73.823
0.491,73.823
0.492,74.919
0.493,74.919
0.494,76.007
0.495,76.007
0.496,76.007
0.497,74.657
0.498,74.657
0.499,73.295
0.5,73.295
0.501,73.295
0.502,74.164
0.503,74.164
0.504,75.032
0.505,75.032
0.506,75.032
0.507,75.396
0.508,75.396
0.509,75.762
0.51,75.762
0.511,75.762
0.512,73.831
0.513,73.831
0.514,71.878
0.515,71.878
0.516,
0.517,71.614
0.518,71.614
0.519,71.322
0.52,71.322
0.521,71.322
0.522,72.578
0.523,72.578
0.524,73.83
0.525,73.83
0.526,73.83
0.527,74.895
0.528,74.895
0.529,75.929
0.53,75.929
0.531,75.929
0.532,75.763
0.533,75.763
0.534,75.696
0.535,75.696
0.536,75.696
0.537,74.956
0.538,74.956
0.539,74.206
0.54,74.206
0.541,74.206
0.542,74.88
0.543,74.88
0.544,75.522
0.545,75.522
0.546,75.522
0.547,75.483
0.548,75.483
0.549,75.43
0.55,75.43
0.551,
0.552,75.493
0.553,75.493
0.554,75.555
0.555,75.555
0.556,75.555
0.557,74.599
0.558,74.599
0.559,73.638
0.56,73.638
0.561,73.638
0.562,74.029
0.5630000000000001,74.029
0.5640000000000001,74.427
0.5650000000000001,74.427
0.5660000000000001,74.427
0.5670000000000001,74.182
0.5680000000000001,74.182
0.5690000000000001,71.295
0.5700000000000001,71.295
0.5710000000000001,71.295
0.5720000000000001,74.188
0.5730000000000001,74.188
0.5740000000000001,74.04
0.5750000000000001,74.04
0.5760000000000001,74.04
0.577,74.408
0.5780000000000001,74.408
0.579,74.654
0.5800000000000001,74.654
0.581,74.654
0.5820000000000001,75.098
0.583,75.098
0.5840000000000001,75.428
0.585,75.428
0.5860000000000001,75.428
0.587,72.418
0.5880000000000001,72.418
0.589,
0.5900000000000001,60.564
0.591,60.564
0.5920000000000001,65.025
0.593,65.025
0.5940000000000001,67.663
0.595,67.663
0.5960000000000001,67.663
0.597,70.978
0.5980000000000001,70.978
0.599,72.678
0.6000000000000001,72.678
0.601,72.678
0.6020000000000001,72.745
0.603,72.745
0.6040000000000001,73.246
0.605,73.246
0.6060000000000001,73.246
0.607,72.885
0.6080000000000001,72.885
0.609,72.521
0.61,72.521
0.611,72.521
0.612,71.85
0.613,71.85
0.614,71.167
0.615,71.167
0.616,71.167
0.617,72.096
0.618,72.096
0.619,72.997
0.62,72.997
0.621,72.997
0.622,72.407
0.623,72.407
0.624,71.809
0.625,71.809
0.626,71.809
0.627,70.684
0.628,70.684
0.629,69.433
0.63,69.433
0.631,69.433
0.632,70.434
0.633,70.434
0.634,71.687
0.635,71.687
0.636,71.687
0.637,71.868
0.638,71.868
0.639,72.087
0.64,72.087
0.641,72.087
0.642,71.76
0.643,71.76
0.644,71.153
0.645,71.153
0.646,71.153
0.647,67.151
0.648,67.151
0.649,69.685
0.65,69.685
0.651,69.685
0.652,66.496
0.653,66.496
0.654,65.037
0.655,65.037
0.656,65.037
0.657,65.744
0.658,65.744
0.659,69.747
0.66,69.747
0.661,69.747
0.662,70.432
0.663,70.432
0.664,71.257
0.665,71.257
0.666,71.257
0.667,71.015
0.668,71.015
0.669,70.774
0.67,70.774
0.671,
0.672,70.615
0.673,70.615
0.674,70.452
0.675,70.452
0.676,70.452
0.677,70.242
0.678,70.242
0.679,69.978
0.68,69.978
0.681,69.978
0.682,69.401
0.683,69.401
0.684,68.897
0.685,68.897
0.686,68.897
0.687,46.551
0.6880000000000001,46.551
0.6890000000000001,60.643
0.69,60.643
0.6910000000000001,60.643
0.692,63.591
0.6930000000000001,63.591
0.694,54.02
0.6950000000000001,54.02
0.696,54.02
0.6970000000000001,65.785
0.698,65.785
0.6990000000000001,59.575
0.7,59.575
0.7010000000000001,59.575
0.702,62.515
0.7030000000000001,62.515
0.704,64.712
0.7050000000000001,64.712
0.706,64.712
0.7070000000000001,63.367
0.708,63.367
0.7090000000000001,63.761
0.71,63.761
0.7110000000000001,63.761
0.712,64.627
0.7130000000000001,64.627
0.714,60.426
0.7150000000000001,60.426
0.716,60.426
0.7170000000000001,41.624
0.718,41.624
0.7190000000000001,36.059
0.72,36.059
0.7210000000000001,36.059
0.722,62.057
0.7230000000000001,62.057
0.724,47.284
0.7250000000000001,47.284
0.726,47.284
0.7270000000000001,44.78
0.728,44.78
0.7290000000000001,50.173
0.73,50.173
0.7310000000000001,50.173
0.732,54.693
0.7330000000000001,54.693
0.734,55.017
0.7350000000000001,55.017
0.736,55.017
0.7370000000000001,59.607
0.738,59.607
0.7390000000000001,57.544
0.74,57.544
0.7410000000000001,57.544
0.742,60.719
0.7430000000000001,60.719
0.744,62.889
0.7450000000000001,62.889
0.746,62.889
0.7470000000000001,62.688
0.748,62.688
0.7490000000000001,62.429
0.75,62.429
0.7510000000000001,62.429
0.752,62.201
0.753,62.201
0.754,61.972
0.755,61.972
0.756,61.972
0.757,61.697
0.758,61.697
0.759,13.82
0.76,13.82
0.761,
0.762,32.339
0.763,32.339
0.764,39.1
0.765,39.1
0.766,39.1
0.767,55.228
0.768,55.228
0.769,59.042
0.77,59.042
0.771,59.042
0.772,59.685
0.773,59.685
0.774,59.846
0.775,59.846
0.776,59.846
0.777,59.74
0.778,59.74
0.779,59.549
0.78,59.549
0.781,59.549
0.782,59.383
0.783,59.383
0.784,58.972
0.785,58.972
0.786,58.972
0.787,56.125
0.788,56.125
0.789,53.882
0.79,53.882
0.791,53.882
0.792,56.187
0.793,56.187
0.794,55.357
0.795,55.357
0.796,55.357
0.797,55.906
0.798,55.906
0.799,56.304
0.8,56.304
0.801,56.304
0.802,55.141
0.803,55.141
0.804,52.903
0.805,52.903
0.806,52.903
0.807,55.276
0.808,55.276
0.809,53.924
0.81,53.924
0.811,53.924
0.812,46.672
0.8130000000000001,46.672
0.8140000000000001,36.08
0.8150000000000001,36.08
0.8160000000000001,36.08
0.817,38.528
0.8180000000000001,38.528
0.819,38.902
0.8200000000000001,38.902
0.821,38.902
0.8220000000000001,30.105
0.823,30.105
0.8240000000000001,44.074
0.825,44.074
0.8260000000000001,44.074
0.827,39.653
0.8280000000000001,39.653
0.829,46.285
0.8300000000000001,46.285
0.831,46.285
0.8320000000000001,38.473
0.833,38.473
0.8340000000000001,48.765
0.835,48.765
0.8360000000000001,48.765
0.837,48.956
0.8380000000000001,48.956
0.839,49.679
0.8400000000000001,49.679
0.841,49.679
0.8420000000000001,52.425
0.843,52.425
0.8440000000000001,51.662
0.845,51.662
0.8460000000000001,51.662
0.847,51.132
0.8480000000000001,51.132
0.849,49.903
0.8500000000000001,49.903
0.851,49.903
0.8520000000000001,48.398
0.853,48.398
0.8540000000000001,47.879
0.855,47.879
0.8560000000000001,47.879
