lambda,radiance
0.4,3.809
0.401,
0.402,3.904
0.403,3.904
0.404,4.001
0.405,4.001
0.406,4.001
0.40700000000000003,4.128
0.40800000000000003,4.128
0.40900000000000003,4.256
0.41000000000000003,4.256
0.41100000000000003,4.256
0.41200000000000003,4.41
0.41300000000000003,4.41
0.41400000000000003,4.564
0.41500000000000004,4.564
0.41600000000000004,4.564
0.41700000000000004,4.534
0.41800000000000004,4.534
0.41900000000000004,4.501
0.42000000000000004,4.501
0.42100000000000004,4.501
0.42200000000000004,4.523
0.42300000000000004,4.523
0.42400000000000004,4.544
0.42500000000000004,4.544
0.42600000000000005,4.544
0.42700000000000005,4.334
0.42800000000000005,4.334
0.42900000000000005,4.119
0.43000000000000005,4.119
0.43100000000000005,4.119
0.43200000000000005,4.52
0.43300000000000005,4.52
0.43400000000000005,4.928
0.43500000000000005,4.928
0.43600000000000005,4.928
0.437,5.021
0.438,5.021
0.439,5.114
0.44,5.114
0.441,5.114
0.442,5.365
0.443,5.365
0.444,5.615
0.445,5.615
0.446,5.615
0.447,5.852
0.448,5.852
0.449,6.092
0.45,6.092
0.451,6.092
0.452,6.088
0.453,6.088
0.454,6.082
0.455,6.082
0.456,6.082
0.457,6.155
0.458,6.155
0.459,6.228
0.46,6.228
0.461,6.228
0.462,6.228
0.463,6.228
0.464,6.237
0.465,6.237
0.466,6.237
0.467,6.249
0.468,6.249
0.46900000000000003,6.25
0.47000000000000003,6.25
0.47100000000000003,
0.47200000000000003,6.342
0.47300000000000003,6.342
0.47400000000000003,6.43
0.47500000000000003,6.43
0.47600000000000003,6.43
0.47700000000000004,6.523
0.47800000000000004,6.523
0.47900000000000004,6.616
0.48000000000000004,6.616
0.48100000000000004,6.616
0.48200000000000004,6.364
0.48300000000000004,6.364
0.48400000000000004,6.111
0.48500000000000004,6.111
0.48600000000000004,6.111
0.48700000000000004,6.241
0.488,6.241
0.489,6.369
0.49,6.369
0.491,6.369
0.492,6.467
0.493,6.467
0.494,6.564
0.495,6.564
0.496,6.564
0.497,6.452
0.498,6.452
0.499,6.338
0.5,6.338
0.501,6.338
0.502,6.417
0.503,6.417
0.504,6.496
0.505,6.496
0.506,6.496
0.507,6.53
0.508,6.53
0.509,6.565
0.51,6.565
0.511,6.565
0.512,6.4
0.513,6.4
0.514,6.233
0.515,6.233
0.516,
0.517,6.214
0.518,6.214
0.519,6.192
0.52,6.192
0.521,6.192
0.522,6.304
0.523,6.304
0.524,6.416
0.525,6.416
0.526,6.416
0.527,6.512
0.528,6.512
0.529,6.606
0.53,6.606
0.531,6.606
0.532,6.595
0.533,6.595
0.534,6.592
0.535,6.592
0.536,6.592
0.537,6.531
0.538,6.531
0.539,6.468
0.54,6.468
0.541,6.468
0.542,6.53
0.543,6.53
0.544,6.589
0.545,6.589
0.546,6.589
0.547,6.588
0.548,6.588
0.549,6.587
0.55,6.587
0.551,
0.552,6.595
0.553,6.595
0.554,6.603
0.555,6.603
0.556,6.603
0.557,6.523
0.558,6.523
0.559,6.441
0.56,6.441
0.561,6.441
0.562,6.478
0.5630000000000001,6.478
0.5640000000000001,6.516
0.5650000000000001,6.516
0.5660000000000001,6.516
0.5670000000000001,6.497
0.5680000000000001,6.497
0.5690000000000001,6.26
0.5700000000000001,6.26
0.5710000000000001,6.26
0.5720000000000001,6.504
0.5730000000000001,6.504
0.5740000000000001,6.497
0.5750000000000001,6.497
0.5760000000000001,6.497
0.577,6.528
0.5780000000000001,6.528
0.579,6.548
0.5800000000000001,6.548
0.581,6.548
0.5820000000000001,6.587
0.583,6.587
0.5840000000000001,6.617
0.585,6.617
0.5860000000000001,6.617
0.587,6.362
0.5880000000000001,6.362
0.589,
0.5900000000000001,5.361
0.591,5.361
0.5920000000000001,5.742
0.593,5.742
0.5940000000000001,5.969
0.595,5.969
0.5960000000000001,5.969
0.597,6.245
0.5980000000000001,6.245
0.599,6.386
0.6000000000000001,6.386
0.601,6.386
0.6020000000000001,6.394
0.603,6.394
0.6040000000000001,6.439
0.605,6.439
0.6060000000000001,6.439
0.607,6.407
0.6080000000000001,6.407
0.609,6.376
0.61,6.376
0.611,6.376
0.612,6.317
