lambda,radiance
0.4,7.758
0.401,
0.402,7.949
0.403,7.949
0.404,8.142
0.405,8.142
0.406,8.142
0.40700000000000003,8.397
0.40800000000000003,8.397
0.40900000000000003,8.655
0.41000000000000003,8.655
0.41100000000000003,8.655
0.41200000000000003,8.964
0.41300000000000003,8.964
0.41400000000000003,9.275
0.41500000000000004,9.275
0.41600000000000004,9.275
0.41700000000000004,9.211
0.41800000000000004,9.211
0.41900000000000004,9.143
0.42000000000000004,9.143
0.42100000000000004,9.143
0.42200000000000004,9.186
0.42300000000000004,9.186
0.42400000000000004,9.226
0.42500000000000004,9.226
0.42600000000000005,9.226
0.42700000000000005,8.795
0.42800000000000005,8.795
0.42900000000000005,8.35
0.43000000000000005,8.35
0.43100000000000005,8.35
0.43200000000000005,9.157
0.43300000000000005,9.157
0.43400000000000005,9.977
0.43500000000000005,9.977
0.43600000000000005,9.977
0.437,10.157
0.438,10.157
0.439,10.339
0.44,10.339
0.441,10.339
0.442,10.838
0.443,10.838
0.444,11.338
0.445,11.338
0.446,11.338
0.447,11.811
0.448,11.811
0.449,12.295
0.45,12.295
0.451,12.295
0.452,12.283
0.453,12.283
0.454,12.262
0.455,12.262
0.456,12.262
0.457,12.38
0.458,12.38
0.459,12.497
0.46,12.497
0.461,12.497
0.462,12.47
0.463,12.47
0.464,12.509
0.465,12.509
0.466,12.509
0.467,12.559
0.468,12.559
0.46900000000000003,12.544
0.47000000000000003,12.544
0.47100000000000003,
0.47200000000000003,12.702
0.47300000000000003,12.702
0.47400000000000003,12.832
0.47500000000000003,12.832
0.47600000000000003,12.832
0.47700000000000004,12.968
0.47800000000000004,12.968
0.47900000000000004,13.096
0.48000000000000004,13.096
0.48100000000000004,13.096
0.48200000000000004,12.564
0.48300000000000004,12.564
0.48400000000000004,12.04
0.48500000000000004,12.04
0.48600000000000004,12.04
0.48700000000000004,12.304
0.488,12.304
0.489,12.572
0.49,12.572
0.491,12.572
0.492,12.739
0.493,12.739
0.494,12.9
0.495,12.9
0.496,12.9
0.497,12.591
0.498,12.591
0.499,12.283
0.5,12.283
0.501,12.283
0.502,12.347
0.503,12.347
0.504,12.411
0.505,12.411
0.506,12.411
0.507,12.472
0.508,12.472
0.509,12.536
0.51,12.536
0.511,12.536
0.512,12.207
0.513,12.207
0.514,11.874
0.515,11.874
0.516,
0.517,11.781
0.518,11.781
0.519,11.677
0.52,11.677
0.521,11.677
0.522,11.821
0.523,11.821
0.524,11.961
0.525,11.961
0.526,11.961
0.527,12.06
0.528,12.06
0.529,12.143
0.53,12.143
0.531,12.143
0.532,12.044
0.533,12.044
0.534,11.998
0.535,11.998
0.536,11.998
0.537,11.846
0.538,11.846
0.539,11.693
0.54,11.693
0.541,11.693
0.542,11.765
0.543,11.765
0.544,11.821
0.545,11.821
0.546,11.821
0.547,11.764
0.548,11.764
0.549,11.701
0.55,11.701
0.551,
0.552,11.643
0.553,11.643
0.554,11.584
0.555,11.584
0.556,11.584
0.557,11.366
0.558,11.366
0.559,11.149
0.56,11.149
0.561,11.149
0.562,11.138
0.5630000000000001,11.138
0.5640000000000001,11.133
0.5650000000000001,11.133
0.5660000000000001,11.133
0.5670000000000001,11.032
0.5680000000000001,11.032
0.5690000000000001,9.873
0.5700000000000001,9.873
0.5710000000000001,9.873
0.5720000000000001,10.833
0.5730000000000001,10.833
0.5740000000000001,10.553
0.5750000000000001,10.553
0.5760000000000001,10.553
0.577,10.787
0.5780000000000001,10.787
0.579,10.998
0.5800000000000001,10.998
0.581,10.998
0.5820000000000001,11.118
0.583,11.118
0.5840000000000001,11.189
0.585,11.189
0.5860000000000001,11.189
0.587,10.355
0.5880000000000001,10.355
0.589,
0.5900000000000001,7.212
0.591,7.212
0.5920000000000001,8.22
0.593,8.22
0.5940000000000001,8.798
0.595,8.798
0.5960000000000001,8.798
0.597,9.981
0.5980000000000001,9.981
0.599,10.693
0.6000000000000001,10.693
0.601,10.693
0.6020000000000001,10.616
0.603,10.616
0.6040000000000001,10.742
0.605,10.742
0.6060000000000001,10.742
0.607,10.741
0.6080000000000001,10.741
0.609,10.742
0.61,10.742
0.611,10.742
0.612,10.711
0.613,10.711
0.614,10.678
0.615,10.678
0.616,10.678
0.617,10.885
0.618,10.885
0.619,11.079
0.62,11.079
0.621,11.079
0.622,11.047
0.623,11.047
0.624,11.012
0.625,11.012
0.626,11.012
0.627,10.551
0.628,10.551
0.629,10.22
0.63,10.22
0.631,10.22
0.632,10.491
0.633,10.491
0.634,11.075
0.635,11.075
0.636,11.075
0.637,11.243
0.638,11.243
0.639,11.466
0.64,11.466
0.641,11.466
0.642,11.387
0.643,11.387
0.644,11.185
0.645,11.185
0.646,11.185
0.647,9.96
0.648,9.96
0.649,11.0
0.65,11.0
0.651,11.0
0.652,10.149
0.653,10.149
0.654,10.056
0.655,10.056
0.656,10.056
0.657,10.133
0.658,10.133
0.659,11.45
0.66,11.45
0.661,11.45
0.662,11.664
0.663,11.664
0.664,11.953
0.665,11.953
0.666,11.953
0.667,11.968
0.668,11.968
0.669,11.984
0.67,11.984
0.671,
0.672,12.013
0.673,12.013
0.674,12.04
0.675,12.04
0.676,12.04
0.677,12.053
0.678,12.053
0.679,12.038
0.68,12.038
0.681,12.038
0.682,11.958
0.683,11.958
0.684,11.916
0.685,11.916
0.686,11.916
0.687,5.796
0.6880000000000001,5.796
0.6890000000000001,9.48
0.69,9.48
0.6910000000000001,9.48
0.692,10.118
0.6930000000000001,10.118
0.694,7.374
0.6950000000000001,7.374
0.696,7.374
0.6970000000000001,11.008
0.698,11.008
0.6990000000000001,9.206
0.7,9.206
0.7010000000000001,9.206
0.702,10.242
0.7030000000000001,10.242
0.704,10.776
0.7050000000000001,10.776
0.706,10.776
0.7070000000000001,10.21
0.708,10.21
0.7090000000000001,10.399
0.71,10.399
0.7110000000000001,10.399
0.712,10.963
0.7130000000000001,10.963
0.714,9.457
0.7150000000000001,9.457
0.716,9.457
0.7170000000000001,4.896
0.718,4.896
0.7190000000000001,3.9
0.72,3.9
0.7210000000000001,3.9
0.722,10.429
0.7230000000000001,10.429
0.724,6.07
0.7250000000000001,6.07
0.726,6.07
0.7270000000000001,5.815
0.728,5.815
0.7290000000000001,6.799
0.73,6.799
0.7310000000000001,6.799
0.732,8.378
0.7330000000000001,8.378
0.734,8.145
0.7350000000000001,8.145
0.736,8.145
0.7370000000000001,9.753
0.738,9.753
0.7390000000000001,9.271
0.74,9.271
0.7410000000000001,9.271
0.742,10.335
0.7430000000000001,10.335
0.744,11.296
0.7450000000000001,11.296
0.746,11.296
0.7470000000000001,11.307
0.748,11.307
0.7490000000000001,11.287
