lambda,radiance
0.4,10.044
0.401,
0.402,10.302
0.403,10.302
0.404,10.562
0.405,10.562
0.406,10.562
0.40700000000000003,10.903
0.40800000000000003,10.903
0.40900000000000003,11.249
0.41000000000000003,11.249
0.41100000000000003,11.249
0.41200000000000003,11.662
0.41300000000000003,11.662
0.41400000000000003,12.077
0.41500000000000004,12.077
0.41600000000000004,12.077
0.41700000000000004,12.005
0.41800000000000004,12.005
0.41900000000000004,11.926
0.42000000000000004,11.926
0.42100000000000004,11.926
0.42200000000000004,11.993
0.42300000000000004,11.993
0.42400000000000004,12.056
0.42500000000000004,12.056
0.42600000000000005,12.056
0.42700000000000005,11.505
0.42800000000000005,11.505
0.42900000000000005,10.935
0.43000000000000005,10.935
0.43100000000000005,10.935
0.43200000000000005,12.005
0.43300000000000005,12.005
0.43400000000000005,13.094
0.43500000000000005,13.094
0.43600000000000005,13.094
0.437,13.345
0.438,13.345
0.439,13.598
0.44,13.598
0.441,13.598
0.442,14.27
0.443,14.27
0.444,14.942
0.445,14.942
0.446,14.942
0.447,15.579
0.448,15.579
0.449,16.229
0.45,16.229
0.451,16.229
0.452,16.228
0.453,16.228
0.454,16.216
0.455,16.216
0.456,16.216
0.457,16.399
0.458,16.399
0.459,16.581
0.46,16.581
0.461,16.581
0.462,16.572
0.463,16.572
0.464,16.624
0.465,16.624
0.466,16.624
0.467,16.688
0.468,16.688
0.46900000000000003,16.69
0.47000000000000003,16.69
0.47100000000000003,
0.47200000000000003,16.925
0.47300000000000003,16.925
0.47400000000000003,17.134
0.47500000000000003,17.134
0.47600000000000003,17.134
0.47700000000000004,17.354
0.47800000000000004,17.354
0.47900000000000004,17.567
0.48000000000000004,17.567
0.48100000000000004,17.567
0.48200000000000004,16.883
0.48300000000000004,16.883
0.48400000000000004,16.202
0.48500000000000004,16.202
0.48600000000000004,16.202
0.48700000000000004,16.564
0.488,16.564
0.489,16.927
0.49,16.927
0.491,16.927
0.492,17.175
0.493,17.175
0.494,17.418
0.495,17.418
0.496,17.418
0.497,17.057
0.498,17.057
0.499,16.695
0.5,16.695
0.501,16.695
0.502,16.84
0.503,16.84
0.504,16.985
0.505,16.985
0.506,16.985
0.507,17.08
