lambda,radiance
0.4,1.868
0.401,
0.402,1.918
0.403,1.918
0.404,1.969
0.405,1.969
0.406,1.969
0.40700000000000003,2.035
0.40800000000000003,2.035
0.40900000000000003,2.102
0.41000000000000003,2.102
0.41100000000000003,2.102
0.41200000000000003,2.181
0.41300000000000003,2.181
0.41400000000000003,2.262
0.41500000000000004,2.262
0.41600000000000004,2.262
0.41700000000000004,2.25
0.41800000000000004,2.25
0.41900000000000004,2.238
0.42000000000000004,2.238
0.42100000000000004,2.238
0.42200000000000004,2.253
0.42300000000000004,2.253
0.42400000000000004,2.267
0.42500000000000004,2.267
0.42600000000000005,2.267
0.42700000000000005,2.166
0.42800000000000005,2.166
0.42900000000000005,2.061
0.43000000000000005,2.061
0.43100000000000005,2.061
0.43200000000000005,2.264
0.43300000000000005,2.264
0.43400000000000005,2.472
0.43500000000000005,2.472
0.43600000000000005,2.472
0.437,2.522
0.438,2.522
0.439,2.572
0.44,2.572
0.441,2.572
0.442,2.702
0.443,2.702
0.444,2.831
0.445,2.831
0.446,2.831
0.447,2.954
0.448,2.954
0.449,3.08
0.45,3.08
0.451,3.08
0.452,3.082
0.453,3.082
0.454,3.082
0.455,3.082
0.456,3.082
0.457,3.119
0.458,3.119
0.459,3.157
0.46,3.157
0.461,3.157
0.462,3.157
0.463,3.157
0.464,3.169
0.465,3.169
0.466,3.169
0.467,3.184
0.468,3.184
0.46900000000000003,3.186
0.47000000000000003,3.186
0.47100000000000003,
0.47200000000000003,3.234
0.47300000000000003,3.234
0.47400000000000003,3.276
0.47500000000000003,3.276
0.47600000000000003,3.276
0.47700000000000004,3.32
0.47800000000000004,3.32
0.47900000000000004,3.363
0.48000000000000004,3.363
0.48100000000000004,3.363
0.48200000000000004,3.234
0.48300000000000004,3.234
0.48400000000000004,3.106
0.48500000000000004,3.106
0.48600000000000004,3.106
0.48700000000000004,3.177
0.488,3.177
0.489,3.249
0.49,3.249
0.491,3.249
0.492,3.298
0.493,3.298
0.494,3.347
0.495,3.347
0.496,3.347
0.497,3.279
0.498,3.279
0.499,3.211
0.5,3.211
0.501,3.211
0.502,3.241
0.503,3.241
0.504,3.27
0.505,3.27
0.506,3.27
0.507,3.29
0.508,3.29
0.509,3.311
0.51,3.311
0.511,3.311
0.512,3.229
0.513,3.229
0.514,3.145
0.515,3.145
0.516,
0.517,3.13
0.518,3.13
0.519,3.112
0.52,3.112
0.521,3.112
0.522,3.16
0.523,3.16
0.524,3.208
0.525,3.208
0.526,3.208
0.527,3.247
0.528,3.247
0.529,3.282
0.53,3.282
0.531,3.282
0.532,3.266
0.533,3.266
0.534,3.261
0.535,3.261
0.536,3.261
0.537,3.227
0.538,3.227
0.539,3.193
0.54,3.193
0.541,3.193
0.542,3.22
0.543,3.22
0.544,3.243
0.545,3.243
0.546,3.243
0.547,3.237
0.548,3.237
0.549,3.229
0.55,3.229
0.551,
0.552,3.223
0.553,3.223
0.554,3.217
0.555,3.217
0.556,3.217
0.557,3.167
0.558,3.167
0.559,3.117
0.56,3.117
0.561,3.117
0.562,3.125
0.5630000000000001,3.125
0.5640000000000001,3.134
0.5650000000000001,3.134
0.5660000000000001,3.134
0.5670000000000001,3.115
0.5680000000000001,3.115
0.5690000000000001,2.868
0.5700000000000001,2.868
0.5710000000000001,2.868
0.5720000000000001,3.086
0.5730000000000001,3.086
0.5740000000000001,3.037
0.5750000000000001,3.037
0.5760000000000001,3.037
