lambda,radiance
0.4,27.078
0.401,
0.402,27.703
0.403,27.703
0.404,28.332
0.405,28.332
0.406,28.332
0.40700000000000003,29.176
0.40800000000000003,29.176
0.40900000000000003,30.029
0.41000000000000003,30.029
0.41100000000000003,30.029
0.41200000000000003,31.059
0.41300000000000003,31.059
0.41400000000000003,32.092
0.41500000000000004,32.092
0.41600000000000004,32.092
0.41700000000000004,31.831
0.41800000000000004,31.831
0.41900000000000004,31.553
0.42000000000000004,31.553
0.42100000000000004,31.553
0.42200000000000004,31.662
0.42300000000000004,31.662
0.42400000000000004,31.763
0.42500000000000004,31.763
0.42600000000000005,31.763
0.42700000000000005,30.25
0.42800000000000005,30.25
0.42900000000000005,28.695
0.43000000000000005,28.695
0.43100000000000005,28.695
0.43200000000000005,31.44
0.43300000000000005,31.44
0.43400000000000005,34.227
0.43500000000000005,34.227
0.43600000000000005,34.227
0.437,34.819
0.438,34.819
0.439,35.414
0.44,35.414
0.441,35.414
0.442,37.097
0.443,37.097
0.444,38.779
0.445,38.779
0.446,38.779
0.447,40.368
0.448,40.368
0.449,41.986
0.45,41.986
0.451,41.986
0.452,41.917
0.453,41.917
0.454,41.823
0.455,41.823
0.456,41.823
0.457,42.232
0.458,42.232
0.459,42.64
0.46,42.64
0.461,42.64
0.462,42.554
0.463,42.554
0.464,42.628
0.465,42.628
0.466,42.628
0.467,42.733
0.468,42.733
0.46900000000000003,42.679
0.47000000000000003,42.679
0.47100000000000003,
0.47200000000000003,43.222
0.47300000000000003,43.222
0.47400000000000003,43.698
0.47500000000000003,43.698
0.47600000000000003,43.698
0.47700000000000004,44.202
0.47800000000000004,44.202
0.47900000000000004,44.688
0.48000000000000004,44.688
0.48100000000000004,44.688
0.48200000000000004,42.894
0.48300000000000004,42.894
0.48400000000000004,41.113
0.48500000000000004,41.113
0.48600000000000004,41.113
0.48700000000000004,41.981
0.488,41.981
0.489,42.853
0.49,42.853
0.491,42.853
0.492,43.435
0.493,43.435
0.494,44.006
0.495,44.006
0.496,44.006
0.497,43.05
0.498,43.05
0.499,42.095
0.5,42.095
0.501,42.095
0.502,42.418
0.503,42.418
0.504,42.741
0.505,42.741
0.506,42.741
0.507,42.939
0.508,42.939
0.509,43.143
0.51,43.143
0.511,43.143
0.512,42.015
0.513,42.015
0.514,40.873
0.515,40.873
0.516,
0.517,40.614
0.518,40.614
0.519,40.323
0.52,40.323
0.521,40.323
0.522,40.899
0.523,40.899
0.524,41.464
0.525,41.464
0.526,41.464
0.527,41.902
0.528,41.902
0.529,42.299
0.53,42.299
0.531,42.299
0.532,42.051
0.533,42.051
0.534,41.932
0.535,41.932
0.536,41.932
0.537,41.442
0.538,41.442
0.539,40.949
0.54,40.949
0.541,40.949
0.542,41.242
0.543,41.242
0.544,41.496
0.545,41.496
0.546,41.496
0.547,41.363
0.548,41.363
0.549,41.214
0.55,41.214
0.551,
0.552,41.102
0.553,41.102
0.554,40.992
0.555,40.992
0.556,40.992
0.557,40.32
0.558,40.32
0.559,39.649
0.56,39.649
0.561,39.649
0.562,39.711
0.5630000000000001,39.711
0.5640000000000001,39.784
0.5650000000000001,39.784
0.5660000000000001,39.784
0.5670000000000001,39.514
0.5680000000000001,39.514
0.5690000000000001,36.347
0.5700000000000001,36.347
0.5710000000000001,36.347
0.5720000000000001,39.078
0.5730000000000001,39.078
0.5740000000000001,38.434
0.5750000000000001,38.434
0.5760000000000001,38.434
0.577,39.03
0.5780000000000001,39.03
0.579,39.534
0.5800000000000001,39.534
0.581,39.534
