lambda,radiance
0.4,14.961
0.401,
0.402,15.334
0.403,15.334
0.404,15.71
0.405,15.71
0.406,15.71
0.40700000000000003,16.206
0.40800000000000003,16.206
0.40900000000000003,16.708
0.41000000000000003,16.708
0.41100000000000003,16.708
0.41200000000000003,17.309
0.41300000000000003,17.309
0.41400000000000003,17.914
0.41500000000000004,17.914
0.41600000000000004,17.914
0.41700000000000004,17.796
0.41800000000000004,17.796
0.41900000000000004,17.668
0.42000000000000004,17.668
0.42100000000000004,17.668
0.42200000000000004,17.755
0.42300000000000004,17.755
0.42400000000000004,17.838
0.42500000000000004,17.838
0.42600000000000005,17.838
0.42700000000000005,17.013
0.42800000000000005,17.013
0.42900000000000005,16.161
0.43000000000000005,16.161
0.43100000000000005,16.161
0.43200000000000005,17.731
0.43300000000000005,17.731
0.43400000000000005,19.329
0.43500000000000005,19.329
0.43600000000000005,19.329
0.437,19.689
0.438,19.689
0.439,20.052
0.44,20.052
0.441,20.052
0.442,21.031
0.443,21.031
0.444,22.01
0.445,22.01
0.446,22.01
0.447,22.938
0.448,22.938
0.449,23.884
0.45,23.884
0.451,23.884
0.452,23.871
0.453,23.871
0.454,23.842
0.455,23.842
0.456,23.842
0.457,24.101
0.458,24.101
0.459,24.359
0.46,24.359
0.461,24.359
0.462,24.334
0.463,24.334
0.464,24.401
0.465,24.401
0.466,24.401
0.467,24.485
0.468,24.485
0.46900000000000003,24.477
0.47000000000000003,24.477
0.47100000000000003,
0.47200000000000003,24.812
0.47300000000000003,24.812
0.47400000000000003,25.108
0.47500000000000003,25.108
0.47600000000000003,25.108
0.47700000000000004,25.421
0.47800000000000004,25.421
0.47900000000000004,25.723
0.48000000000000004,25.723
0.48100000000000004,25.723
0.48200000000000004,24.712
0.48300000000000004,24.712
0.48400000000000004,23.707
0.48500000000000004,23.707
0.48600000000000004,23.707
0.48700000000000004,24.228
0.488,24.228
0.489,24.75
0.49,24.75
0.491,24.75
0.492,25.104
0.493,25.104
0.494,25.452
0.495,25.452
0.496,25.452
0.497,24.917
0.498,24.917
0.499,24.381
0.5,24.381
0.501,24.381
0.502,24.586
0.503,24.586
0.504,24.789
0.505,24.789
0.506,24.789
0.507,24.921
0.508,24.921
0.509,25.056
0.51,25.056
0.511,25.056
0.512,24.416
0.513,24.416
0.514,23.768
0.515,23.768
0.516,
0.517,23.632
0.518,23.632
0.519,23.477
0.52,23.477
0.521,23.477
0.522,23.827
0.523,23.827
0.524,24.171
0.525,24.171
0.526,24.171
0.527,24.441
0.528,24.441
0.529,24.687
0.53,24.687
0.531,24.687
0.532,24.557
0.533,24.557
0.534,24.501
0.535,24.501
0.536,24.501
0.537,24.229
0.538,24.229
0.539,23.954
