lambda,radiance
0.4,14.524
0.401,
0.402,14.85
0.403,14.85
0.404,15.177
0.405,15.177
0.406,15.177
0.40700000000000003,15.619
0.40800000000000003,15.619
0.40900000000000003,16.065
0.41000000000000003,16.065
0.41100000000000003,16.065
0.41200000000000003,16.606
0.41300000000000003,16.606
0.41400000000000003,17.148
0.41500000000000004,17.148
0.41600000000000004,17.148
0.41700000000000004,16.997
0.41800000000000004,16.997
0.41900000000000004,16.839
0.42000000000000004,16.839
0.42100000000000004,16.839
0.42200000000000004,16.886
0.42300000000000004,16.886
0.42400000000000004,16.93
0.42500000000000004,16.93
0.42600000000000005,16.93
0.42700000000000005,16.11
0.42800000000000005,16.11
0.42900000000000005,15.268
0.43000000000000005,15.268
0.43100000000000005,15.268
0.43200000000000005,16.713
0.43300000000000005,16.713
0.43400000000000005,18.178
0.43500000000000005,18.178
0.43600000000000005,18.178
0.437,18.475
0.438,18.475
0.439,18.774
0.44,18.774
0.441,18.774
0.442,19.649
0.443,19.649
0.444,20.523
0.445,20.523
0.446,20.523
0.447,21.349
0.448,21.349
0.449,22.192
0.45,22.192
0.451,22.192
0.452,22.14
0.453,22.14
0.454,22.069
0.455,22.069
0.456,22.069
0.457,22.246
0.458,22.246
0.459,22.423
0.46,22.423
0.461,22.423
0.462,22.34
0.463,22.34
0.464,22.384
0.465,22.384
0.466,22.384
0.467,22.451
0.468,22.451
0.46900000000000003,22.395
0.47000000000000003,22.395
0.47100000000000003,
0.47200000000000003,22.644
0.47300000000000003,22.644
0.47400000000000003,22.84
0.47500000000000003,22.84
0.47600000000000003,22.84
0.47700000000000004,23.045
0.47800000000000004,23.045
0.47900000000000004,23.235
0.48000000000000004,23.235
0.48100000000000004,23.235
0.48200000000000004,22.26
0.48300000000000004,22.26
0.48400000000000004,21.302
0.48500000000000004,21.302
0.48600000000000004,21.302
0.48700000000000004,21.747
0.488,21.747
0.489,22.202
0.49,22.202
0.491,22.202
0.492,22.47
0.493,22.47
0.494,22.728
0.495,22.728
0.496,22.728
0.497,22.146
0.498,22.146
0.499,21.568
0.5,21.568
0.501,21.568
0.502,21.646
0.503,21.646
0.504,21.722
0.505,21.722
0.506,21.722
0.507,21.809
0.508,21.809
0.509,21.901
0.51,21.901
0.511,21.901
0.512,21.305
0.513,21.305
0.514,20.703
0.515,20.703
0.516,
0.517,20.515
0.518,20.515
0.519,20.305
0.52,20.305
0.521,20.305
0.522,20.527
0.523,20.527
0.524,20.74
0.525,20.74
0.526,20.74
0.527,20.881
0.528,20.881
0.529,20.991
0.53,20.991
0.531,20.991
0.532,20.791
0.533,20.791
0.534,20.688
0.535,20.688
0.536,20.688
0.537,20.404
0.538,20.404
0.539,20.118
0.54,20.118
0.541,20.118
0.542,20.219
0.543,20.219
0.544,20.292
0.545,20.292
