lambda,radiance
0.4,6.181
0.401,
0.402,6.334
0.403,6.334
0.404,6.488
0.405,6.488
0.406,6.488
0.40700000000000003,6.692
0.40800000000000003,6.692
0.40900000000000003,6.899
0.41000000000000003,6.899
0.41100000000000003,6.899
0.41200000000000003,7.146
0.41300000000000003,7.146
0.41400000000000003,7.394
0.41500000000000004,7.394
0.41600000000000004,7.394
0.41700000000000004,7.344
0.41800000000000004,7.344
0.41900000000000004,7.29
0.42000000000000004,7.29
0.42100000000000004,7.29
0.42200000000000004,7.325
0.42300000000000004,7.325
0.42400000000000004,7.358
0.42500000000000004,7.358
0.42600000000000005,7.358
0.42700000000000005,7.014
0.42800000000000005,7.014
0.42900000000000005,6.66
0.43000000000000005,6.66
0.43100000000000005,6.66
0.43200000000000005,7.303
0.43300000000000005,7.303
0.43400000000000005,7.957
0.43500000000000005,7.957
0.43600000000000005,7.957
0.437,8.101
0.438,8.101
0.439,8.245
0.44,8.245
0.441,8.245
0.442,8.644
0.443,8.644
0.444,9.042
0.445,9.042
0.446,9.042
0.447,9.42
0.448,9.42
0.449,9.806
0.45,9.806
0.451,9.806
0.452,9.796
0.453,9.796
0.454,9.778
0.455,9.778
0.456,9.778
0.457,9.87
0.458,9.87
0.459,9.962
0.46,9.962
0.461,9.962
0.462,9.938
0.463,9.938
0.464,9.971
0.465,9.971
0.466,9.971
0.467,10.013
0.468,10.013
0.46900000000000003,10.0
0.47000000000000003,10.0
0.47100000000000003,
0.47200000000000003,10.124
0.47300000000000003,10.124
0.47400000000000003,10.224
0.47500000000000003,10.224
0.47600000000000003,10.224
0.47700000000000004,10.328
0.47800000000000004,10.328
0.47900000000000004,10.425
0.48000000000000004,10.425
0.48100000000000004,10.425
0.48200000000000004,9.999
0.48300000000000004,9.999
0.48400000000000004,9.58
0.48500000000000004,9.58
0.48600000000000004,9.58
0.48700000000000004,9.791
0.488,9.791
0.489,10.005
0.49,10.005
0.491,10.005
0.492,10.135
0.493,10.135
0.494,10.261
0.495,10.261
0.496,10.261
0.497,10.008
0.498,10.008
0.499,9.756
0.5,9.756
0.501,9.756
0.502,9.799
0.503,9.799
0.504,9.843
0.505,9.843
0.506,9.843
0.507,9.891
0.508,9.891
0.509,9.941
0.51,9.941
0.511,9.941
0.512,9.678
0.513,9.678
0.514,9.413
0.515,9.413
0.516,
0.517,9.335
0.518,9.335
0.519,9.247
0.52,9.247
0.521,9.247
0.522,9.355
0.523,9.355
0.524,9.46
