lambda,radiance
0.4,21.456
0.401,
0.402,21.968
0.403,21.968
0.404,22.483
0.405,22.483
0.406,22.483
0.40700000000000003,23.169
0.40800000000000003,23.169
0.40900000000000003,23.864
0.41000000000000003,23.864
0.41100000000000003,23.864
0.41200000000000003,24.698
0.41300000000000003,24.698
0.41400000000000003,25.537
0.41500000000000004,25.537
0.41600000000000004,25.537
0.41700000000000004,25.345
0.41800000000000004,25.345
0.41900000000000004,25.14
0.42000000000000004,25.14
0.42100000000000004,25.14
0.42200000000000004,25.242
0.42300000000000004,25.242
0.42400000000000004,25.338
0.42500000000000004,25.338
0.42600000000000005,25.338
0.42700000000000005,24.145
0.42800000000000005,24.145
0.42900000000000005,22.917
0.43000000000000005,22.917
0.43100000000000005,22.917
0.43200000000000005,25.123
0.43300000000000005,25.123
0.43400000000000005,27.365
0.43500000000000005,27.365
0.43600000000000005,27.365
0.437,27.853
0.438,27.853
0.439,28.343
0.44,28.343
0.441,28.343
0.442,29.705
0.443,29.705
0.444,31.067
0.445,31.067
0.446,31.067
0.447,32.355
0.448,32.355
0.449,33.666
0.45,33.666
0.451,33.666
0.452,33.626
0.453,33.626
0.454,33.564
0.455,33.564
0.456,33.564
0.457,33.906
0.458,33.906
0.459,34.247
0.46,34.247
0.461,34.247
0.462,34.19
0.463,34.19
0.464,34.264
0.465,34.264
0.466,34.264
0.467,34.364
0.468,34.364
0.46900000000000003,34.332
0.47000000000000003,34.332
0.47100000000000003,
0.47200000000000003,34.782
0.47300000000000003,34.782
0.47400000000000003,35.176
0.47500000000000003,35.176
0.47600000000000003,35.176
0.47700000000000004,35.593
0.47800000000000004,35.593
0.47900000000000004,35.995
0.48000000000000004,35.995
0.48100000000000004,35.995
0.48200000000000004,34.561
0.48300000000000004,34.561
0.48400000000000004,33.136
0.48500000000000004,33.136
0.48600000000000004,33.136
0.48700000000000004,33.848
0.488,33.848
0.489,34.562
0.49,34.562
0.491,34.562
0.492,35.041
0.493,35.041
0.494,35.51
0.495,35.51
0.496,35.51
0.497,34.746
0.498,34.746
0.499,33.981
0.5,33.981
0.501,33.981
0.502,34.248
0.503,34.248
0.504,34.515
0.505,34.515
0.506,34.515
0.507,34.684
0.508,34.684
0.509,34.858
0.51,34.858
0.511,34.858
0.512,33.954
0.513,33.954
0.514,33.04
0.515,33.04
0.516,
0.517,32.836
0.518,32.836
0.519,32.607
0.52,32.607
0.521,32.607
0.522,33.078
0.523,33.078
0.524,33.54
0.525,33.54
0.526,33.54
0.527,33.9
0.528,33.9
0.529,34.226
0.53,34.226
0.531,34.226
0.532,34.03
0.533,34.03
0.534,33.94
0.535,33.94
0.536,33.94
0.537,33.549
0.538,33.549
0.539,33.156
0.54,33.156
0.541,33.156
0.542,33.399
0.543,33.399
0.544,33.61
0.545,33.61
0.546,33.61
0.547,33.507
0.548,33.507
0.549,33.391
0.55,33.391
0.551,
0.552,33.303
0.553,33.303
0.554,33.216
0.555,33.216
0.556,33.216
0.557,32.674
0.558,32.674
0.559,32.132
0.56,32.132
0.561,32.132
0.562,32.184
0.5630000000000001,32.184
0.5640000000000001,32.245
0.5650000000000001,32.245
0.5660000000000001,32.245
0.5670000000000001,32.029
0.5680000000000001,32.029
0.5690000000000001,29.437
0.5700000000000001,29.437
0.5710000000000001,29.437
0.5720000000000001,31.676
0.5730000000000001,31.676
0.5740000000000001,31.148
0.5750000000000001,31.148
0.5760000000000001,31.148
0.577,31.643
0.5780000000000001,31.643
0.579,32.063
0.5800000000000001,32.063
0.581,32.063
0.5820000000000001,32.354
0.583,32.354
0.5840000000000001,32.536
0.585,32.536
0.5860000000000001,32.536
0.587,30.52
0.5880000000000001,30.52
0.589,
0.5900000000000001,22.577
0.591,22.577
0.5920000000000001,25.243
0.593,25.243
0.5940000000000001,26.784
0.595,26.784
0.5960000000000001,26.784
0.597,29.583
0.5980000000000001,29.583
0.599,31.208
0.6000000000000001,31.208
0.601,31.208
0.6020000000000001,31.085
0.603,31.085
0.6040000000000001,31.394
0.605,31.394
0.6060000000000001,31.394
0.607,31.333
0.6080000000000001,31.333
0.609,31.272
0.61,31.272
0.611,31.272
0.612,31.105
0.613,31.105
0.614,30.93
0.615,30.93
0.616,30.93
0.617,31.455
0.618,31.455
0.619,31.95
0.62,31.95
0.621,31.95
0.622,31.793
0.623,31.793
0.624,31.63
0.625,31.63
0.626,31.63
0.627,30.606
0.628,30.606
0.629,29.768
0.63,29.768
0.631,29.768
0.632,30.455
0.633,30.455
0.634,31.71
0.635,31.71
0.636,31.71
0.637,32.046
0.638,32.046
0.639,32.471
0.64,32.471
0.641,32.471
0.642,32.273
0.643,32.273
0.644,31.808
0.645,31.808
0.646,31.808
0.647,28.862
0.648,28.862
0.649,31.203
0.65,31.203
0.651,31.203
0.652,29.12
0.653,29.12
0.654,28.7
0.655,28.7
0.656,28.7
0.657,28.955
0.658,28.955
0.659,32.033
0.66,32.033
0.661,32.033
0.662,32.523
0.663,32.523
0.664,33.164
0.665,33.164
0.666,33.164
0.667,33.145
0.668,33.145
0.669,33.129
0.67,33.129
0.671,
0.672,33.15
0.673,33.15
0.674,33.168
0.675,33.168
0.676,33.168
0.677,33.151
0.678,33.151
0.679,33.079
0.68,33.079
0.681,33.079
0.682,32.839
0.683,32.839
0.684,32.678
0.685,32.678
0.686,32.678
0.687,17.739
0.6880000000000001,17.739
0.6890000000000001,26.885
0.69,26.885
0.6910000000000001,26.885
0.692,28.566
0.6930000000000001,28.566
0.694,21.86
0.6950000000000001,21.86
0.696,21.86
0.6970000000000001,30.555
0.698,30.555
0.6990000000000001,26.185
0.7,26.185
0.7010000000000001,26.185
0.702,28.565
0.7030000000000001,28.565
0.704,29.934
0.7050000000000001,29.934
0.706,29.934
0.7070000000000001,28.722
0.708,28.722
0.7090000000000001,29.156
0.71,29.156
0.7110000000000001,29.156
0.712,30.28
0.7130000000000001,30.28
0.714,26.833
0.7150000000000001,26.833
0.716,26.833
0.7170000000000001,15.227
0.718,15.227
0.7190000000000001,12.477
0.72,12.477
0.7210000000000001,12.477
0.722,28.842
0.7230000000000001,28.842
0.724,18.336
0.7250000000000001,18.336
0.726,18.336
0.7270000000000001,17.504
0.728,17.504
0.7290000000000001,20.185
0.73,20.185
0.7310000000000001,20.185
0.732,23.869
0.7330000000000001,23.869
0.734,23.505
0.7350000000000001,23.505
0.736,23.505
0.7370000000000001,27.26
0.738,27.26
0.7390000000000001,26.014
0.74,26.014
0.7410000000000001,26.014
0.742,28.501
0.7430000000000001,28.501
0.744,30.542
0.7450000000000001,30.542
0.746,30.542
0.7470000000000001,30.522
0.748,30.522
0.7490000000000001,30.442
0.75,30.442
0.7510000000000001,30.442
0.752,30.354
0.753,30.354
0.754,30.265
0.755,30.265
0.756,30.265
0.757,30.154
0.758,30.154
0.759,3.034
0.76,3.034
0.761,
0.762,11.264
0.763,11.264
0.764,15.165
0.765,15.165
0.766,15.165
0.767,25.762
0.768,25.762
0.769,28.679
0.77,28.679
0.771,28.679
0.772,29.254
0.773,29.254
0.774,29.465
0.775,29.465
0.776,29.465
0.777,29.46
0.778,29.46
0.779,29.362
0.78,29.362
0.781,29.362
0.782,29.3
0.783,29.3
0.784,28.969
0.785,28.969
0.786,28.969
0.787,26.429
0.788,26.429
0.789,24.72
0.79,24.72
0.791,24.72
0.792,27.015
0.793,27.015
0.794,26.29
0.795,26.29
0.796,26.29
0.797,26.725
0.798,26.725
0.799,27.102
0.8,27.102
0.801,27.102
0.802,26.257
0.803,26.257
0.804,24.367
0.805,24.367
0.806,24.367
0.807,26.671
0.808,26.671
0.809,25.497
0.81,25.497
0.811,25.497
0.812,19.738
0.8130000000000001,19.738
0.8140000000000001,13.466
0.8150000000000001,13.466
0.8160000000000001,13.466
0.817,15.545
0.8180000000000001,15.545
0.819,15.891
0.8200000000000001,15.891
0.821,15.891
0.8220000000000001,10.59
0.823,10.59
0.8240000000000001,19.2
0.825,19.2
0.8260000000000001,19.2
0.827,16.313
0.8280000000000001,16.313
0.829,20.561
0.8300000000000001,20.561
0.831,20.561
0.8320000000000001,15.724
0.833,15.724
0.8340000000000001,22.375
0.835,22.375
0.8360000000000001,22.375
0.837,22.349
0.8380000000000001,22.349
0.839,22.916
0.8400000000000001,22.916
0.841,22.916
