lambda,radiance
0.4,23.711
0.401,
0.402,24.268
0.403,24.268
0.404,24.829
0.405,24.829
0.406,24.829
0.40700000000000003,25.578
0.40800000000000003,25.578
0.40900000000000003,26.336
0.41000000000000003,26.336
0.41100000000000003,26.336
0.41200000000000003,27.248
0.41300000000000003,27.248
0.41400000000000003,28.165
0.41500000000000004,28.165
0.41600000000000004,28.165
0.41700000000000004,27.945
0.41800000000000004,27.945
0.41900000000000004,27.711
0.42000000000000004,27.711
0.42100000000000004,27.711
0.42200000000000004,27.816
0.42300000000000004,27.816
0.42400000000000004,27.914
0.42500000000000004,27.914
0.42600000000000005,27.914
0.42700000000000005,26.592
0.42800000000000005,26.592
0.42900000000000005,25.233
0.43000000000000005,25.233
0.43100000000000005,25.233
0.43200000000000005,27.655
0.43300000000000005,27.655
0.43400000000000005,30.114
0.43500000000000005,30.114
0.43600000000000005,30.114
0.437,30.644
0.438,30.644
0.439,31.176
0.44,31.176
0.441,31.176
0.442,32.666
0.443,32.666
0.444,34.156
0.445,34.156
0.446,34.156
0.447,35.565
0.448,35.565
0.449,36.999
0.45,36.999
0.451,36.999
0.452,36.947
0.453,36.947
0.454,36.872
0.455,36.872
0.456,36.872
0.457,37.24
0.458,37.24
0.459,37.607
0.46,37.607
0.461,37.607
0.462,37.538
0.463,37.538
0.464,37.612
0.465,37.612
0.466,37.612
0.467,37.714
0.468,37.714
0.46900000000000003,37.673
0.47000000000000003,37.673
0.47100000000000003,
0.47200000000000003,38.159
0.47300000000000003,38.159
0.47400000000000003,38.585
0.47500000000000003,38.585
0.47600000000000003,38.585
0.47700000000000004,39.036
0.47800000000000004,39.036
0.47900000000000004,39.47
0.48000000000000004,39.47
0.48100000000000004,39.47
0.48200000000000004,37.891
0.48300000000000004,37.891
0.48400000000000004,36.324
0.48500000000000004,36.324
0.48600000000000004,36.324
0.48700000000000004,37.098
0.488,37.098
0.489,37.875
0.49,37.875
0.491,37.875
0.492,38.394
0.493,38.394
0.494,38.904
0.495,38.904
0.496,38.904
0.497,38.061
0.498,38.061
0.499,37.218
0.5,37.218
0.501,37.218
0.502,37.506
0.503,37.506
0.504,37.793
0.505,37.793
0.506,37.793
0.507,37.974
0.508,37.974
0.509,38.159
0.51,38.159
0.511,38.159
0.512,37.166
0.513,37.166
0.514,36.161
0.515,36.161
0.516,
0.517,35.934
