lambda,radiance
0.4,21.825
0.401,
0.402,22.344
0.403,22.344
0.404,22.867
0.405,22.867
0.406,22.867
0.40700000000000003,23.564
0.40800000000000003,23.564
0.40900000000000003,24.268
0.41000000000000003,24.268
0.41100000000000003,24.268
0.41200000000000003,25.116
0.41300000000000003,25.116
0.41400000000000003,25.968
0.41500000000000004,25.968
0.41600000000000004,25.968
0.41700000000000004,25.771
0.41800000000000004,25.771
0.41900000000000004,25.562
0.42000000000000004,25.562
0.42100000000000004,25.562
0.42200000000000004,25.664
0.42300000000000004,25.664
0.42400000000000004,25.76
0.42500000000000004,25.76
0.42600000000000005,25.76
0.42700000000000005,24.547
0.42800000000000005,24.547
0.42900000000000005,23.297
0.43000000000000005,23.297
0.43100000000000005,23.297
0.43200000000000005,25.538
0.43300000000000005,25.538
0.43400000000000005,27.816
0.43500000000000005,27.816
0.43600000000000005,27.816
0.437,28.311
0.438,28.311
0.439,28.808
0.44,28.808
0.441,28.808
0.442,30.191
0.443,30.191
0.444,31.574
0.445,31.574
0.446,31.574
0.447,32.882
0.448,32.882
0.449,34.214
0.45,34.214
0.451,34.214
0.452,34.172
0.453,34.172
0.454,34.108
0.455,34.108
0.456,34.108
0.457,34.454
0.458,34.454
0.459,34.799
0.46,34.799
0.461,34.799
0.462,34.741
0.463,34.741
0.464,34.815
0.465,34.815
0.466,34.815
0.467,34.915
0.468,34.915
0.46900000000000003,34.882
0.47000000000000003,34.882
0.47100000000000003,
0.47200000000000003,35.337
0.47300000000000003,35.337
0.47400000000000003,35.737
0.47500000000000003,35.737
0.47600000000000003,35.737
0.47700000000000004,36.159
0.47800000000000004,36.159
0.47900000000000004,36.567
0.48000000000000004,36.567
0.48100000000000004,36.567
0.48200000000000004,35.109
0.48300000000000004,35.109
0.48400000000000004,33.661
0.48500000000000004,33.661
0.48600000000000004,33.661
0.48700000000000004,34.383
0.488,34.383
0.489,35.107
0.49,35.107
0.491,35.107
0.492,35.593
0.493,35.593
0.494,36.069
0.495,36.069
0.496,36.069
0.497,35.292
0.498,35.292
0.499,34.514
0.5,34.514
0.501,34.514
0.502,34.785
0.503,34.785
0.504,35.055
0.505,35.055
0.506,35.055
0.507,35.226
0.508,35.226
0.509,35.402
0.51,35.402
0.511,35.402
0.512,34.484
0.513,34.484
0.514,33.554
0.515,33.554
0.516,
0.517,33.347
0.518,33.347
0.519,33.113
0.52,33.113
0.521,33.113
0.522,33.591
0.523,33.591
0.524,34.06
0.525,34.06
0.526,34.06
0.527,34.424
0.528,34.424
0.529,34.755
0.53,34.755
0.531,34.755
0.532,34.555
0.533,34.555
0.534,34.463
0.535,34.463
0.536,34.463
0.537,34.066
0.538,34.066
0.539,33.666
0.54,33.666
0.541,33.666
0.542,33.912
0.543,33.912
0.544,34.126
0.545,34.126
0.546,34.126
0.547,34.021
0.548,34.021
0.549,33.903
0.55,33.903
0.551,
0.552,33.813
0.553,33.813
0.554,33.723
0.555,33.723
0.556,33.723
0.557,33.173
0.558,33.173
0.559,32.622
0.56,32.622
0.561,32.622
0.562,32.675
0.5630000000000001,32.675
0.5640000000000001,32.737
0.5650000000000001,32.737
0.5660000000000001,32.737
0.5670000000000001,32.517
0.5680000000000001,32.517
0.5690000000000001,29.885
0.5700000000000001,29.885
0.5710000000000001,29.885
0.5720000000000001,32.158
0.5730000000000001,32.158
0.5740000000000001,31.622
0.5750000000000001,31.622
0.5760000000000001,31.622
0.577,32.124
0.5780000000000001,32.124
0.579,32.55
0.5800000000000001,32.55
0.581,32.55
0.5820000000000001,32.844
0.583,32.844
0.5840000000000001,33.029
0.585,33.029
0.5860000000000001,33.029
0.587,30.982
0.5880000000000001,30.982
0.589,
0.5900000000000001,22.918
0.591,22.918
0.5920000000000001,25.624
0.593,25.624
0.5940000000000001,27.188
0.595,27.188
0.5960000000000001,27.188
0.597,30.029
0.5980000000000001,30.029
0.599,31.679
0.6000000000000001,31.679
0.601,31.679
0.6020000000000001,31.554
0.603,31.554
0.6040000000000001,31.867
0.605,31.867
0.6060000000000001,31.867
0.607,31.804
0.6080000000000001,31.804
0.609,31.743
0.61,31.743
0.611,31.743
0.612,31.573
0.613,31.573
0.614,31.395
0.615,31.395
0.616,31.395
0.617,31.927
0.618,31.927
0.619,32.43
0.62,32.43
0.621,32.43
0.622,32.27
0.623,32.27
0.624,32.105
0.625,32.105
0.626,32.105
0.627,31.065
0.628,31.065
0.629,30.213
0.63,30.213
0.631,30.213
0.632,30.911
0.633,30.911
0.634,32.185
0.635,32.185
0.636,32.185
0.637,32.525
0.638,32.525
0.639,32.956
0.64,32.956
0.641,32.956
0.642,32.755
0.643,32.755
0.644,32.283
0.645,32.283
0.646,32.283
0.647,29.293
0.648,29.293
0.649,31.668
0.65,31.668
0.651,31.668
0.652,29.555
0.653,29.555
0.654,29.128
0.655,29.128
0.656,29.128
0.657,29.386
0.658,29.386
0.659,32.51
0.66,32.51
0.661,32.51
0.662,33.007
0.663,33.007
0.664,33.657
0.665,33.657
0.666,33.657
0.667,33.638
0.668,33.638
0.669,33.622
0.67,33.622
0.671,
0.672,33.642
0.673,33.642
0.674,33.661
0.675,33.661
0.676,33.661
0.677,33.644
0.678,33.644
0.679,33.57
0.68,33.57
0.681,33.57
0.682,33.326
0.683,33.326
0.684,33.162
0.685,33.162
0.686,33.162
0.687,18.002
0.6880000000000001,18.002
0.6890000000000001,27.283
0.69,27.283
0.6910000000000001,27.283
0.692,28.989
0.6930000000000001,28.989
0.694,22.183
0.6950000000000001,22.183
0.696,22.183
0.6970000000000001,31.008
0.698,31.008
