lambda,radiance
0.4,8.184
0.401,
0.402,8.396
0.403,8.396
0.404,8.609
0.405,8.609
0.406,8.609
0.40700000000000003,8.889
0.40800000000000003,8.889
0.40900000000000003,9.172
0.41000000000000003,9.172
0.41100000000000003,9.172
0.41200000000000003,9.51
0.41300000000000003,9.51
0.41400000000000003,9.85
0.41500000000000004,9.85
0.41600000000000004,9.85
0.41700000000000004,9.793
0.41800000000000004,9.793
0.41900000000000004,9.73
0.42000000000000004,9.73
0.42100000000000004,9.73
0.42200000000000004,9.786
0.42300000000000004,9.786
0.42400000000000004,9.839
0.42500000000000004,9.839
0.42600000000000005,9.839
0.42700000000000005,9.391
0.42800000000000005,9.391
0.42900000000000005,8.927
0.43000000000000005,8.927
0.43100000000000005,8.927
0.43200000000000005,9.801
0.43300000000000005,9.801
0.43400000000000005,10.691
0.43500000000000005,10.691
0.43600000000000005,10.691
0.437,10.897
0.438,10.897
0.439,11.105
0.44,11.105
0.441,11.105
0.442,11.655
0.443,11.655
0.444,12.205
0.445,12.205
0.446,12.205
0.447,12.727
0.448,12.727
0.449,13.259
0.45,13.259
0.451,13.259
0.452,13.259
0.453,13.259
0.454,13.251
0.455,13.251
0.456,13.251
0.457,13.4
0.458,13.4
0.459,13.55
0.46,13.55
0.461,13.55
0.462,13.543
0.463,13.543
0.464,13.587
0.465,13.587
0.466,13.587
0.467,13.642
0.468,13.642
0.46900000000000003,13.644
0.47000000000000003,13.644
0.47100000000000003,
0.47200000000000003,13.837
0.47300000000000003,13.837
0.47400000000000003,14.007
0.47500000000000003,14.007
0.47600000000000003,14.007
0.47700000000000004,14.187
0.47800000000000004,14.187
0.47900000000000004,14.361
0.48000000000000004,14.361
0.48100000000000004,14.361
0.48200000000000004,13.801
0.48300000000000004,13.801
0.48400000000000004,13.245
0.48500000000000004,13.245
0.48600000000000004,13.245
0.48700000000000004,13.543
0.488,13.543
0.489,13.84
0.49,13.84
0.491,13.84
0.492,14.043
0.493,14.043
0.494,14.243
0.495,14.243
0.496,14.243
0.497,13.945
0.498,13.945
0.499,13.647
0.5,13.647
0.501,13.647
0.502,13.764
0.503,13.764
0.504,13.88
0.505,13.88
0.506,13.88
0.507,13.958
0.508,13.958
0.509,14.039
0.51,14.039
0.511,14.039
0.512,13.685
0.513,13.685
0.514,13.325
0.515,13.325
0.516,
0.517,13.252
0.518,13.252
0.519,13.167
0.52,13.167
0.521,13.167
0.522,13.365
0.523,13.365
0.524,13.56
0.525,13.56
0.526,13.56
0.527,13.713
0.528,13.713
0.529,13.853
0.53,13.853
0.531,13.853
0.532,13.781
0.533,13.781
0.534,13.753
0.535,13.753
0.536,13.753
0.537,13.602
0.538,13.602
0.539,13.451
0.54,13.451
0.541,13.451
0.542,13.557
0.543,13.557
0.544,13.65
0.545,13.65
0.546,13.65
0.547,13.615
0.548,13.615
0.549,13.575
0.55,13.575
0.551,
0.552,13.544
0.553,13.544
0.554,13.513
0.555,13.513
0.556,13.513
0.557,13.298
0.558,13.298
0.559,13.081
0.56,13.081
0.561,13.081
0.562,13.107
0.5630000000000001,13.107
0.5640000000000001,13.136
0.5650000000000001,13.136
0.5660000000000001,13.136
0.5670000000000001,13.052
0.5680000000000001,13.052
0.5690000000000001,11.986
0.5700000000000001,11.986
0.5710000000000001,11.986
0.5720000000000001,12.915
0.5730000000000001,12.915
0.5740000000000001,12.7
0.5750000000000001,12.7
0.5760000000000001,12.7
0.577,12.911
0.5780000000000001,12.911
0.579,13.092
0.5800000000000001,13.092
0.581,13.092
0.5820000000000001,13.217
0.583,13.217
0.5840000000000001,13.297
0.585,13.297
0.5860000000000001,13.297
0.587,12.47
0.5880000000000001,12.47
0.589,
0.5900000000000001,9.2
0.591,9.2
0.5920000000000001,10.3
0.593,10.3
0.5940000000000001,10.938
0.595,10.938
0.5960000000000001,10.938
0.597,12.102
0.5980000000000001,12.102
0.599,12.781
0.6000000000000001,12.781
0.601,12.781
0.6020000000000001,12.733
0.603,12.733
0.6040000000000001,12.865
0.605,12.865
0.6060000000000001,12.865
0.607,12.846
0.6080000000000001,12.846
0.609,12.827
0.61,12.827
0.611,12.827
0.612,12.764
0.613,12.764
0.614,12.698
0.615,12.698
0.616,12.698
0.617,12.919
0.618,12.919
0.619,13.128
0.62,13.128
0.621,13.128
0.622,13.069
0.623,13.069
0.624,13.008
0.625,13.008
0.626,13.008
0.627,12.584
0.628,12.584
0.629,12.241
0.63,12.241
0.631,12.241
0.632,12.53
0.633,12.53
0.634,13.059
0.635,13.059
0.636,13.059
0.637,13.203
0.638,13.203
0.639,13.386
0.64,13.386
0.641,13.386
0.642,13.308
0.643,13.308
0.644,13.117
0.645,13.117
0.646,13.117
0.647,11.894
0.648,11.894
0.649,12.876
0.65,12.876
0.651,12.876
0.652,12.013
0.653,12.013
0.654,11.846
0.655,11.846
0.656,11.846
0.657,11.953
0.658,11.953
0.659,13.241
0.66,13.241
0.661,13.241
0.662,13.449
0.663,13.449
0.664,13.721
0.665,13.721
0.666,13.721
0.667,13.718
0.668,13.718
0.669,13.716
0.67,13.716
0.671,
0.672,13.728
0.673,13.728
0.674,13.74
0.675,13.74
0.676,13.74
0.677,13.736
0.678,13.736
0.679,13.709
0.68,13.709
0.681,13.709
0.682,13.613
0.683,13.613
0.684,13.549
0.685,13.549
0.686,13.549
0.687,7.316
0.6880000000000001,7.316
0.6890000000000001,11.132
0.69,11.132
0.6910000000000001,11.132
0.692,11.834
0.6930000000000001,11.834
0.694,9.034
0.6950000000000001,9.034
0.696,9.034
