lambda,radiance
0.4,14.837
0.401,
0.402,15.205
0.403,15.205
0.404,15.576
0.405,15.576
0.406,15.576
0.40700000000000003,16.065
0.40800000000000003,16.065
0.40900000000000003,16.561
0.41000000000000003,16.561
0.41100000000000003,16.561
0.41200000000000003,17.154
0.41300000000000003,17.154
0.41400000000000003,17.752
0.41500000000000004,17.752
0.41600000000000004,17.752
0.41700000000000004,17.632
0.41800000000000004,17.632
0.41900000000000004,17.503
0.42000000000000004,17.503
0.42100000000000004,17.503
0.42200000000000004,17.588
0.42300000000000004,17.588
0.42400000000000004,17.668
0.42500000000000004,17.668
0.42600000000000005,17.668
0.42700000000000005,16.848
0.42800000000000005,16.848
0.42900000000000005,16.003
0.43000000000000005,16.003
0.43100000000000005,16.003
0.43200000000000005,17.555
0.43300000000000005,17.555
0.43400000000000005,19.134
0.43500000000000005,19.134
0.43600000000000005,19.134
0.437,19.489
0.438,19.489
0.439,19.845
0.44,19.845
0.441,19.845
0.442,20.811
0.443,20.811
0.444,21.778
0.445,21.778
0.446,21.778
0.447,22.694
0.448,22.694
0.449,23.628
0.45,23.628
0.451,23.628
0.452,23.612
0.453,23.612
0.454,23.582
0.455,23.582
0.456,23.582
0.457,23.834
0.458,23.834
0.459,24.085
0.46,24.085
0.461,24.085
0.462,24.057
0.463,24.057
0.464,24.122
0.465,24.122
0.466,24.122
0.467,24.205
0.468,24.205
0.46900000000000003,24.194
0.47000000000000003,24.194
0.47100000000000003,
0.47200000000000003,24.521
0.47300000000000003,24.521
0.47400000000000003,24.81
0.47500000000000003,24.81
0.47600000000000003,24.81
0.47700000000000004,25.114
0.47800000000000004,25.114
0.47900000000000004,25.407
0.48000000000000004,25.407
0.48100000000000004,25.407
0.48200000000000004,24.405
0.48300000000000004,24.405
0.48400000000000004,23.408
0.48500000000000004,23.408
0.48600000000000004,23.408
0.48700000000000004,23.922
0.488,23.922
0.489,24.436
0.49,24.436
0.491,24.436
0.492,24.783
0.493,24.783
0.494,25.124
0.495,25.124
0.496,25.124
0.497,24.589
0.498,24.589
0.499,24.053
0.5,24.053
0.501,24.053
0.502,24.248
0.503,24.248
0.504,24.442
0.505,24.442
0.506,24.442
0.507,24.57
0.508,24.57
0.509,24.701
0.51,24.701
0.511,24.701
0.512,24.069
0.513,24.069
0.514,23.428
0.515,23.428
0.516,
0.517,23.289
0.518,23.289
0.519,23.131
0.52,23.131
0.521,23.131
0.522,23.471
0.523,23.471
0.524,23.804
0.525,23.804
0.526,23.804
0.527,24.064
0.528,24.064
0.529,24.299
0.53,24.299
0.531,24.299
0.532,24.164
0.533,24.164
0.534,24.106
0.535,24.106
0.536,24.106
0.537,23.834
0.538,23.834
0.539,23.56
0.54,23.56
0.541,23.56
0.542,23.738
0.543,23.738
0.544,23.893
0.545,23.893
0.546,23.893
0.547,23.824
0.548,23.824
0.549,23.746
0.55,23.746
0.551,
0.552,23.686
0.553,23.686
0.554,23.626
0.555,23.626
0.556,23.626
0.557,23.243
0.558,23.243
0.559,22.859
0.56,22.859
0.561,22.859
0.562,22.898
0.5630000000000001,22.898
0.5640000000000001,22.944
0.5650000000000001,22.944
0.5660000000000001,22.944
0.5670000000000001,22.792
0.5680000000000001,22.792
0.5690000000000001,20.924
0.5700000000000001,20.924
0.5710000000000001,20.924
0.5720000000000001,22.542
0.5730000000000001,22.542
0.5740000000000001,22.161
0.5750000000000001,22.161
0.5760000000000001,22.161
0.577,22.523
0.5780000000000001,22.523
0.579,22.834
0.5800000000000001,22.834
0.581,22.834
0.5820000000000001,23.047
0.583,23.047
0.5840000000000001,23.181
0.585,23.181
0.5860000000000001,23.181
0.587,21.735
0.5880000000000001,21.735
0.589,
0.5900000000000001,16.032
0.591,16.032
0.5920000000000001,17.945
0.593,17.945
0.5940000000000001,19.052
0.595,19.052
0.5960000000000001,19.052
0.597,21.075
0.5980000000000001,21.075
0.599,22.254
0.6000000000000001,22.254
0.601,22.254
0.6020000000000001,22.166
0.603,22.166
0.6040000000000001,22.392
0.605,22.392
0.6060000000000001,22.392
0.607,22.354
0.6080000000000001,22.354
0.609,22.316
0.61,22.316
0.611,22.316
0.612,22.203
0.613,22.203
0.614,22.084
0.615,22.084
0.616,22.084
0.617,22.464
0.618,22.464
0.619,22.823
0.62,22.823
0.621,22.823
0.622,22.717
0.623,22.717
0.624,22.606
0.625,22.606
0.626,22.606
0.627,21.867
0.628,21.867
0.629,21.266
0.63,21.266
0.631,21.266
0.632,21.764
0.633,21.764
0.634,22.679
0.635,22.679
0.636,22.679
0.637,22.927
0.638,22.927
0.639,23.241
0.64,23.241
0.641,23.241
0.642,23.101
0.643,23.101
0.644,22.767
0.645,22.767
0.646,22.767
0.647,20.641
0.648,20.641
0.649,22.341
0.65,22.341
0.651,22.341
0.652,20.841
0.653,20.841
0.654,20.548
0.655,20.548
0.656,20.548
0.657,20.731
0.658,20.731
0.659,22.962
0.66,22.962
0.661,22.962
0.662,23.319
0.663,23.319
0.664,23.788
0.665,23.788
0.666,23.788
0.667,23.779
0.668,23.779
0.669,23.772
0.67,23.772
0.671,
0.672,23.791
0.673,23.791
0.674,23.807
0.675,23.807
0.676,23.807
0.677,23.799
0.678,23.799
0.679,23.75
0.68,23.75
0.681,23.75
0.682,23.581
0.683,23.581
0.684,23.468
0.685,23.468
0.686,23.468
0.687,12.671
0.6880000000000001,12.671
0.6890000000000001,19.278
0.69,19.278
0.6910000000000001,19.278
0.692,20.491
0.6930000000000001,20.491
0.694,15.642
0.6950000000000001,15.642
0.696,15.642
0.6970000000000001,21.94
0.698,21.94
0.6990000000000001,18.779
0.7,18.779
0.7010000000000001,18.779
0.702,20.509
0.7030000000000001,20.509
0.704,21.498
0.7050000000000001,21.498
0.706,21.498
0.7070000000000001,20.617
0.708,20.617
0.7090000000000001,20.934
0.71,20.934
0.7110000000000001,20.934
0.712,21.759
0.7130000000000001,21.759
0.714,19.257
0.7150000000000001,19.257
0.716,19.257
0.7170000000000001,10.878
0.718,10.878
0.7190000000000001,8.901
0.72,8.901
0.7210000000000001,8.901
0.722,20.73
0.7230000000000001,20.73
0.724,13.121
0.7250000000000001,13.121
0.726,13.121
0.7270000000000001,12.529
0.728,12.529
0.7290000000000001,14.459
0.73,14.459
0.7310000000000001,14.459
0.732,17.135
0.7330000000000001,17.135
0.734,16.864
0.7350000000000001,16.864
0.736,16.864
0.7370000000000001,19.592
0.738,19.592
0.7390000000000001,18.694
0.74,18.694
0.7410000000000001,18.694
0.742,20.501
0.7430000000000001,20.501
0.744,21.992
0.7450000000000001,21.992
0.746,21.992
0.7470000000000001,21.981
0.748,21.981
0.7490000000000001,21.925
0.75,21.925
0.7510000000000001,21.925
0.752,21.864
0.753,21.864
0.754,21.802
0.755,21.802
0.756,21.802
0.757,21.724
0.758,21.724
0.759,2.142
0.76,2.142
0.761,
0.762,8.047
0.763,8.047
0.764,10.864
0.765,10.864
0.766,10.864
0.767,18.543
0.768,18.543
0.769,20.665
0.77,20.665
0.771,20.665
0.772,21.086
0.773,21.086
0.774,21.241
0.775,21.241
0.776,21.241
0.777,21.24
0.778,21.24
0.779,21.17
0.78,21.17
0.781,21.17
0.782,21.127
0.783,21.127
0.784,20.887
0.785,20.887
0.786,20.887
0.787,19.035
0.788,19.035
0.789,17.794
0.79,17.794
0.791,17.794
0.792,19.471
0.793,19.471
0.794,18.942
0.795,18.942
0.796,18.942
0.797,19.259
0.798,19.259
0.799,19.535
0.8,19.535
0.801,19.535
0.802,18.922
0.803,18.922
0.804,17.545
0.805,17.545
0.806,17.545
0.807,19.229
0.808,19.229
0.809,18.373
0.81,18.373
0.811,18.373
0.812,14.184
0.8130000000000001,14.184
0.8140000000000001,9.648
0.8150000000000001,9.648
0.8160000000000001,9.648
0.817,11.16
0.8180000000000001,11.16
0.819,11.413
0.8200000000000001,11.413
0.821,11.413
0.8220000000000001,7.578
0.823,7.578
0.8240000000000001,13.813
0.825,13.813
0.8260000000000001,13.813
0.827,11.72
0.8280000000000001,11.72
0.829,14.801
0.8300000000000001,14.801
0.831,14.801
0.8320000000000001,11.295
0.833,11.295
0.8340000000000001,16.12
0.835,16.12
0.8360000000000001,16.12
0.837,16.099
0.8380000000000001,16.099
0.839,16.512
0.8400000000000001,16.512
0.841,16.512
0.8420000000000001,18.542
0.843,18.542
0.8440000000000001,18.092
0.845,18.092
0.8460000000000001,18.092
0.847,18.085
0.8480000000000001,18.085
0.849,17.537
0.8500000000000001,17.537
0.851,17.537
0.8520000000000001,16.908
0.853,16.908
0.8540000000000001,16.981
0.855,16.981
0.8560000000000001,16.981
0.857,17.388
0.8580000000000001,17.388
0.859,18.396
0.8600000000000001,18.396
0.861,
0.8620000000000001,17.948
0.863,17.948
0.8640000000000001,17.537
0.865,17.537
0.8660000000000001,17.537
0.867,17.646
0.8680000000000001,17.646
0.869,17.778
0.8700000000000001,17.778
0.871,17.778
0.8720000000000001,18.092
0.873,18.092
0.8740000000000001,18.364
0.875,18.364
0.8760000000000001,18.364
0.877,18.234
0.8780000000000001,18.234
0.879,18.04
0.88,18.04
0.881,18.04
0.882,17.556
0.883,17.556
0.884,17.671
0.885,17.671
0.886,17.671
0.887,17.664
0.888,17.664
0.889,16.637
0.89,16.637
0.891,16.637
0.892,17.067
0.893,17.067
0.894,11.855
0.895,11.855
0.896,11.855
0.897,8.21
0.898,8.21
0.899,7.734
0.9,7.734
