lambda,radiance
0.4,5.274
0.401,
0.402,5.407
0.403,5.407
0.404,5.541
0.405,5.541
0.406,5.541
0.40700000000000003,5.717
0.40800000000000003,5.717
0.40900000000000003,5.896
0.41000000000000003,5.896
0.41100000000000003,5.896
0.41200000000000003,6.11
0.41300000000000003,6.11
0.41400000000000003,6.324
0.41500000000000004,6.324
0.41600000000000004,6.324
0.41700000000000004,6.284
0.41800000000000004,6.284
0.41900000000000004,6.24
0.42000000000000004,6.24
0.42100000000000004,6.24
0.42200000000000004,6.272
0.42300000000000004,6.272
0.42400000000000004,6.303
0.42500000000000004,6.303
0.42600000000000005,6.303
0.42700000000000005,6.011
0.42800000000000005,6.011
0.42900000000000005,5.709
0.43000000000000005,5.709
0.43100000000000005,5.709
0.43200000000000005,6.263
0.43300000000000005,6.263
0.43400000000000005,6.826
0.43500000000000005,6.826
0.43600000000000005,6.826
0.437,6.953
0.438,6.953
0.439,7.08
0.44,7.08
0.441,7.08
0.442,7.424
0.443,7.424
0.444,7.769
0.445,7.769
0.446,7.769
0.447,8.096
0.448,8.096
0.449,8.43
0.45,8.43
0.451,8.43
0.452,8.425
0.453,8.425
0.454,8.413
0.455,8.413
0.456,8.413
0.457,8.496
0.458,8.496
0.459,8.578
0.46,8.578
0.461,8.578
0.462,8.562
0.463,8.562
0.464,8.591
0.465,8.591
0.466,8.591
0.467,8.629
0.468,8.629
0.46900000000000003,8.621
0.47000000000000003,8.621
0.47100000000000003,
0.47200000000000003,8.731
0.47300000000000003,8.731
0.47400000000000003,8.822
0.47500000000000003,8.822
0.47600000000000003,8.822
0.47700000000000004,8.917
0.47800000000000004,8.917
0.47900000000000004,9.006
0.48000000000000004,9.006
0.48100000000000004,9.006
0.48200000000000004,8.642
0.48300000000000004,8.642
0.48400000000000004,8.282
0.48500000000000004,8.282
0.48600000000000004,8.282
0.48700000000000004,8.467
0.488,8.467
0.489,8.653
0.49,8.653
0.491,8.653
0.492,8.769
0.493,8.769
0.494,8.882
0.495,8.882
0.496,8.882
0.497,8.669
0.498,8.669
0.499,8.456
0.5,8.456
0.501,8.456
0.502,8.5
0.503,8.5
0.504,8.544
0.505,8.544
0.506,8.544
0.507,8.588
0.508,8.588
0.509,8.633
0.51,8.633
0.511,8.633
0.512,8.408
0.513,8.408
0.514,8.179
0.515,8.179
0.516,
0.517,8.116
0.518,8.116
0.519,8.044
0.52,8.044
0.521,8.044
0.522,8.143
0.523,8.143
0.524,8.24
0.525,8.24
0.526,8.24
0.527,8.308
0.528,8.308
0.529,8.364
0.53,8.364
